Comunidad,Año,Mes,Numero Paradas
Principado de Asturias,2006,Noviembre,52382
Castilla y León,2006,Noviembre,107085
Comunidad de Madrid,2006,Noviembre,212754
Islas Baleares,2006,Noviembre,44490
Canarias,2006,Noviembre,125702
Cantabria,2006,Noviembre,20675
Aragón,2006,Noviembre,36285
Comunidad Foral de Navarra,2006,Noviembre,20029
Galicia,2006,Noviembre,158690
Melilla,2006,Noviembre,6149
Región de Murcia,2006,Noviembre,43451
Andalucía,2006,Noviembre,490884
La Rioja,2006,Noviembre,9766
País Vasco,2006,Noviembre,76190
Comunidad Valenciana,2006,Noviembre,189885
Ceuta,2006,Noviembre,6798
Cataluña,2006,Noviembre,257771
Castilla-La Mancha,2006,Noviembre,89435
Extremadura,2006,Octubre,74020
Principado de Asturias,2006,Octubre,51443
Castilla y León,2006,Octubre,104443
Comunidad de Madrid,2006,Octubre,213581
Islas Baleares,2006,Octubre,33704
Canarias,2006,Octubre,126004
Cantabria,2006,Octubre,20300
Aragón,2006,Octubre,35952
Comunidad Foral de Navarra,2006,Octubre,19777
Galicia,2006,Octubre,151534
Melilla,2006,Octubre,5957
Región de Murcia,2006,Octubre,44056
Andalucía,2006,Octubre,486945
La Rioja,2006,Octubre,9631
País Vasco,2006,Octubre,76227
Comunidad Valenciana,2006,Octubre,187768
Ceuta,2006,Octubre,6585
Cataluña,2006,Octubre,256166
Castilla-La Mancha,2006,Octubre,88743
Extremadura,2006,Septiembre,75255
Principado de Asturias,2006,Septiembre,49985
Castilla y León,2006,Septiembre,101128
Comunidad de Madrid,2006,Septiembre,213081
Islas Baleares,2006,Septiembre,28725
Canarias,2006,Septiembre,125720
Cantabria,2006,Septiembre,19630
Aragón,2006,Septiembre,35068
Comunidad Foral de Navarra,2006,Septiembre,19999
Galicia,2006,Septiembre,146834
Melilla,2006,Septiembre,5838
Región de Murcia,2006,Septiembre,44472
Andalucía,2006,Septiembre,474597
La Rioja,2006,Septiembre,9345
País Vasco,2006,Septiembre,76409
Comunidad Valenciana,2006,Septiembre,190563
Ceuta,2006,Septiembre,6616
Cataluña,2006,Septiembre,255144
Castilla-La Mancha,2006,Septiembre,87757
Extremadura,2007,Abril,74489
Principado de Asturias,2007,Abril,51848
Castilla y León,2007,Abril,109422
Comunidad de Madrid,2007,Abril,222172
Islas Baleares,2007,Abril,34253
Canarias,2007,Abril,133091
Cantabria,2007,Abril,21025
Aragón,2007,Abril,35848
Comunidad Foral de Navarra,2007,Abril,19938
Galicia,2007,Abril,155479
Melilla,2007,Abril,7708
Región de Murcia,2007,Abril,44471
Andalucía,2007,Abril,480446
La Rioja,2007,Abril,10089
País Vasco,2007,Abril,77946
Comunidad Valenciana,2007,Abril,196329
Ceuta,2007,Abril,6986
Cataluña,2007,Abril,248659
Castilla-La Mancha,2007,Abril,92925
Extremadura,2007,Agosto,72622
Principado de Asturias,2007,Agosto,45643
Castilla y León,2007,Agosto,97895
Comunidad de Madrid,2007,Agosto,223083
Islas Baleares,2007,Agosto,30900
Canarias,2007,Agosto,132797
Cantabria,2007,Agosto,18618
Aragón,2007,Agosto,35655
Comunidad Foral de Navarra,2007,Agosto,20477
Galicia,2007,Agosto,140299
Melilla,2007,Agosto,6222
Región de Murcia,2007,Agosto,48922
Andalucía,2007,Agosto,497306
La Rioja,2007,Agosto,9935
País Vasco,2007,Agosto,75514
Comunidad Valenciana,2007,Agosto,208014
Ceuta,2007,Agosto,7236
Cataluña,2007,Agosto,267473
Castilla-La Mancha,2007,Agosto,89685
Extremadura,2007,Diciembre,76202
Principado de Asturias,2007,Diciembre,51229
Castilla y León,2007,Diciembre,109711
Comunidad de Madrid,2007,Diciembre,229150
Islas Baleares,2007,Diciembre,50004
Canarias,2007,Diciembre,139081
Cantabria,2007,Diciembre,21848
Aragón,2007,Diciembre,38378
Comunidad Foral de Navarra,2007,Diciembre,21575
Galicia,2007,Diciembre,154982
Melilla,2007,Diciembre,6411
Región de Murcia,2007,Diciembre,51623
Andalucía,2007,Diciembre,510817
La Rioja,2007,Diciembre,10753
País Vasco,2007,Diciembre,74582
Comunidad Valenciana,2007,Diciembre,215693
Ceuta,2007,Diciembre,6764
Cataluña,2007,Diciembre,265789
Castilla-La Mancha,2007,Diciembre,94955
Extremadura,2007,Enero,76387
Principado de Asturias,2007,Enero,56644
Castilla y León,2007,Enero,113240
Comunidad de Madrid,2007,Enero,218201
Islas Baleares,2007,Enero,46824
Canarias,2007,Enero,126736
Cantabria,2007,Enero,23010
Aragón,2007,Enero,37365
Comunidad Foral de Navarra,2007,Enero,22509
Galicia,2007,Enero,163583
Melilla,2007,Enero,6339
Región de Murcia,2007,Enero,45295
Andalucía,2007,Enero,491931
La Rioja,2007,Enero,10461
País Vasco,2007,Enero,80685
Comunidad Valenciana,2007,Enero,200584
Ceuta,2007,Enero,6776
Cataluña,2007,Enero,261348
Castilla-La Mancha,2007,Enero,94590
Extremadura,2007,Febrero,75803
Principado de Asturias,2007,Febrero,55613
Castilla y León,2007,Febrero,113136
Comunidad de Madrid,2007,Febrero,220752
Islas Baleares,2007,Febrero,43353
Canarias,2007,Febrero,129444
Cantabria,2007,Febrero,22618
Aragón,2007,Febrero,36389
Comunidad Foral de Navarra,2007,Febrero,22265
Galicia,2007,Febrero,160904
Melilla,2007,Febrero,7622
Región de Murcia,2007,Febrero,45982
Andalucía,2007,Febrero,490416
La Rioja,2007,Febrero,10415
País Vasco,2007,Febrero,80960
Comunidad Valenciana,2007,Febrero,200119
Ceuta,2007,Febrero,6872
Cataluña,2007,Febrero,257583
Castilla-La Mancha,2007,Febrero,95029
Extremadura,2007,Julio,72023
Principado de Asturias,2007,Julio,44911
Castilla y León,2007,Julio,99031
Comunidad de Madrid,2007,Julio,216289
Islas Baleares,2007,Julio,29334
Canarias,2007,Julio,132139
Cantabria,2007,Julio,18624
Aragón,2007,Julio,33701
Comunidad Foral de Navarra,2007,Julio,20285
Galicia,2007,Julio,139998
Melilla,2007,Julio,6608
Región de Murcia,2007,Julio,45188
Andalucía,2007,Julio,485693
La Rioja,2007,Julio,9399
País Vasco,2007,Julio,72224
Comunidad Valenciana,2007,Julio,194930
Ceuta,2007,Julio,7313
Cataluña,2007,Julio,255575
Castilla-La Mancha,2007,Julio,87073
Extremadura,2007,Junio,73906
Principado de Asturias,2007,Junio,46364
Castilla y León,2007,Junio,102387
Comunidad de Madrid,2007,Junio,216651
Islas Baleares,2007,Junio,27713
Canarias,2007,Junio,135557
Cantabria,2007,Junio,19381
Aragón,2007,Junio,33165
Comunidad Foral de Navarra,2007,Junio,19196
Galicia,2007,Junio,143156
Melilla,2007,Junio,7557
Región de Murcia,2007,Junio,43481
Andalucía,2007,Junio,482914
La Rioja,2007,Junio,9379
País Vasco,2007,Junio,70955
Comunidad Valenciana,2007,Junio,194000
Ceuta,2007,Junio,7409
Cataluña,2007,Junio,245490
Castilla-La Mancha,2007,Junio,87208
Extremadura,2007,Marzo,75712
Principado de Asturias,2007,Marzo,53738
Castilla y León,2007,Marzo,112578
Comunidad de Madrid,2007,Marzo,222811
