Comunidades y Ciudades Autónomas;General. vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Canarias;General;Índice;2010T1;131.541
Canarias;General;Índice;2009T4;133.802
Canarias;General;Índice;2009T3;134.275
Canarias;General;Índice;2009T2;134.569
Canarias;General;Índice;2009T1;135.116
Canarias;General;Índice;2008T4;137.190
Canarias;General;Índice;2008T3;140.081
Canarias;General;Índice;2008T2;140.650
Canarias;General;Índice;2008T1;141.207
Canarias;General;Índice;2007T4;140.620
Canarias;General;Índice;2007T3;139.186
Canarias;General;Índice;2007T2;136.815
Canarias;General;Índice;2007T1;132.560
Canarias;General;Variación trimestral;2019T4;0.2
Canarias;General;Variación trimestral;2019T3;1.0
Canarias;General;Variación trimestral;2019T2;0.0
Canarias;General;Variación trimestral;2019T1;1.8
Canarias;General;Variación trimestral;2018T4;0.9
Canarias;General;Variación trimestral;2018T3;0.4
Canarias;General;Variación trimestral;2018T2;1.9
Canarias;General;Variación trimestral;2018T1;0.8
Canarias;General;Variación trimestral;2017T4;2.1
Canarias;General;Variación trimestral;2017T3;0.9
Canarias;General;Variación trimestral;2017T2;0.6
Canarias;General;Variación trimestral;2017T1;2.3
Canarias;General;Variación trimestral;2016T4;0.7
Canarias;General;Variación trimestral;2016T3;0.1
Canarias;General;Variación trimestral;2016T2;0.5
Canarias;General;Variación trimestral;2016T1;2.1
Canarias;General;Variación trimestral;2015T4;-0.3
Canarias;General;Variación trimestral;2015T3;-0.4
Canarias;General;Variación trimestral;2015T2;4.4
Canarias;General;Variación trimestral;2015T1;0.0
Canarias;General;Variación trimestral;2014T4;0.4
Canarias;General;Variación trimestral;2014T3;-1.1
Canarias;General;Variación trimestral;2014T2;2.8
Canarias;General;Variación trimestral;2014T1;-1.5
Canarias;General;Variación trimestral;2013T4;-0.7
Canarias;General;Variación trimestral;2013T3;-0.8
Canarias;General;Variación trimestral;2013T2;-1.8
Canarias;General;Variación trimestral;2013T1;-3.7
Canarias;General;Variación trimestral;2012T4;0.3
Canarias;General;Variación trimestral;2012T3;-4.4
Canarias;General;Variación trimestral;2012T2;-5.0
Canarias;General;Variación trimestral;2012T1;-5.0
Canarias;General;Variación trimestral;2011T4;-1.6
Canarias;General;Variación trimestral;2011T3;-3.6
Canarias;General;Variación trimestral;2011T2;-0.8
Canarias;General;Variación trimestral;2011T1;-1.8
Canarias;General;Variación trimestral;2010T4;-0.6
Canarias;General;Variación trimestral;2010T3;-1.9
Canarias;General;Variación trimestral;2010T2;1.1
Canarias;General;Variación trimestral;2010T1;-1.7
Canarias;General;Variación trimestral;2009T4;-0.4
Canarias;General;Variación trimestral;2009T3;-0.2
Canarias;General;Variación trimestral;2009T2;-0.4
Canarias;General;Variación trimestral;2009T1;-1.5
Canarias;General;Variación trimestral;2008T4;-2.1
Canarias;General;Variación trimestral;2008T3;-0.4
Canarias;General;Variación trimestral;2008T2;-0.4
Canarias;General;Variación trimestral;2008T1;0.4
Canarias;General;Variación trimestral;2007T4;1.0
Canarias;General;Variación trimestral;2007T3;1.7
Canarias;General;Variación trimestral;2007T2;3.2
Canarias;General;Variación trimestral;2007T1;2.4
Canarias;General;Variación anual;2019T4;3.1
Canarias;General;Variación anual;2019T3;3.8
Canarias;General;Variación anual;2019T2;3.2
Canarias;General;Variación anual;2019T1;5.2
Canarias;General;Variación anual;2018T4;4.1
Canarias;General;Variación anual;2018T3;5.4
Canarias;General;Variación anual;2018T2;5.9
Canarias;General;Variación anual;2018T1;4.5
Canarias;General;Variación anual;2017T4;6.0
Canarias;General;Variación anual;2017T3;4.5
Canarias;General;Variación anual;2017T2;3.6
Canarias;General;Variación anual;2017T1;3.4
Canarias;General;Variación anual;2016T4;3.3
Canarias;General;Variación anual;2016T3;2.4
Canarias;General;Variación anual;2016T2;1.9
Canarias;General;Variación anual;2016T1;5.9
Canarias;General;Variación anual;2015T4;3.6
Canarias;General;Variación anual;2015T3;4.4
Canarias;General;Variación anual;2015T2;3.6
Canarias;General;Variación anual;2015T1;2.0
Canarias;General;Variación anual;2014T4;0.5
Canarias;General;Variación anual;2014T3;-0.6
Canarias;General;Variación anual;2014T2;-0.2
Canarias;General;Variación anual;2014T1;-4.7
Canarias;General;Variación anual;2013T4;-6.8
Canarias;General;Variación anual;2013T3;-5.8
Canarias;General;Variación anual;2013T2;-9.2
Canarias;General;Variación anual;2013T1;-12.2
Canarias;General;Variación anual;2012T4;-13.3
Canarias;General;Variación anual;2012T3;-15.0
Canarias;General;Variación anual;2012T2;-14.3
Canarias;General;Variación anual;2012T1;-10.6
Canarias;General;Variación anual;2011T4;-7.7
Canarias;General;Variación anual;2011T3;-6.7
Canarias;General;Variación anual;2011T2;-5.2
Canarias;General;Variación anual;2011T1;-3.3
Canarias;General;Variación anual;2010T4;-3.2
Canarias;General;Variación anual;2010T3;-2.9
Canarias;General;Variación anual;2010T2;-1.2
Canarias;General;Variación anual;2010T1;-2.6
Canarias;General;Variación anual;2009T4;-2.5
Canarias;General;Variación anual;2009T3;-4.1
Canarias;General;Variación anual;2009T2;-4.3
Canarias;General;Variación anual;2009T1;-4.3
Canarias;General;Variación anual;2008T4;-2.4
Canarias;General;Variación anual;2008T3;0.6
Canarias;General;Variación anual;2008T2;2.8
Canarias;General;Variación anual;2008T1;6.5
Canarias;General;Variación anual;2007T4;8.6
Canarias;General;Variación anual;2007T3;11.6
Canarias;General;Variación anual;2007T2;13.9
Canarias;General;Variación anual;2007T1;14.6
Canarias;General;Variación en lo que va de año;2019T4;3.1
Canarias;General;Variación en lo que va de año;2019T3;2.8
Canarias;General;Variación en lo que va de año;2019T2;1.9
Canarias;General;Variación en lo que va de año;2019T1;1.8
Canarias;General;Variación en lo que va de año;2018T4;4.1
Canarias;General;Variación en lo que va de año;2018T3;3.2
Canarias;General;Variación en lo que va de año;2018T2;2.8
Canarias;General;Variación en lo que va de año;2018T1;0.8
Canarias;General;Variación en lo que va de año;2017T4;6.0
Canarias;General;Variación en lo que va de año;2017T3;3.8
Canarias;General;Variación en lo que va de año;2017T2;2.9
Canarias;General;Variación en lo que va de año;2017T1;2.3
Canarias;General;Variación en lo que va de año;2016T4;3.3
Canarias;General;Variación en lo que va de año;2016T3;2.7
Canarias;General;Variación en lo que va de año;2016T2;2.6
Canarias;General;Variación en lo que va de año;2016T1;2.1
Canarias;General;Variación en lo que va de año;2015T4;3.6
Canarias;General;Variación en lo que va de año;2015T3;3.9
Canarias;General;Variación en lo que va de año;2015T2;4.3
Canarias;General;Variación en lo que va de año;2015T1;0.0
Canarias;General;Variación en lo que va de año;2014T4;0.5
Canarias;General;Variación en lo que va de año;2014T3;0.1
Canarias;General;Variación en lo que va de año;2014T2;1.3
Canarias;General;Variación en lo que va de año;2014T1;-1.5
Canarias;General;Variación en lo que va de año;2013T4;-6.8
Canarias;General;Variación en lo que va de año;2013T3;-6.1
Canarias;General;Variación en lo que va de año;2013T2;-5.4
Canarias;General;Variación en lo que va de año;2013T1;-3.7
Canarias;General;Variación en lo que va de año;2012T4;-13.3
Canarias;General;Variación en lo que va de año;2012T3;-13.6
Canarias;General;Variación en lo que va de año;2012T2;-9.7
Canarias;General;Variación en lo que va de año;2012T1;-5.0
Canarias;General;Variación en lo que va de año;2011T4;-7.7
Canarias;General;Variación en lo que va de año;2011T3;-6.1
Canarias;General;Variación en lo que va de año;2011T2;-2.7
Canarias;General;Variación en lo que va de año;2011T1;-1.8
Canarias;General;Variación en lo que va de año;2010T4;-3.2
Canarias;General;Variación en lo que va de año;2010T3;-2.6
Canarias;General;Variación en lo que va de año;2010T2;-0.6
Canarias;General;Variación en lo que va de año;2010T1;-1.7
Canarias;General;Variación en lo que va de año;2009T4;-2.5
Canarias;General;Variación en lo que va de año;2009T3;-2.1
Canarias;General;Variación en lo que va de año;2009T2;-1.9
Canarias;General;Variación en lo que va de año;2009T1;-1.5
Canarias;General;Variación en lo que va de año;2008T4;-2.4
Canarias;General;Variación en lo que va de año;2008T3;-0.4
Canarias;General;Variación en lo que va de año;2008T2;0.0
Canarias;General;Variación en lo que va de año;2008T1;0.4
Canarias;General;Variación en lo que va de año;2007T4;8.6
Canarias;General;Variación en lo que va de año;2007T3;7.5
Canarias;General;Variación en lo que va de año;2007T2;5.7
Canarias;General;Variación en lo que va de año;2007T1;2.4
Canarias;Vivienda nueva;Índice;2019T4;122.894
Canarias;Vivienda nueva;Índice;2019T3;122.229
Canarias;Vivienda nueva;Índice;2019T2;121.511
Canarias;Vivienda nueva;Índice;2019T1;124.122
Canarias;Vivienda nueva;Índice;2018T4;120.384
Canarias;Vivienda nueva;Índice;2018T3;116.468
Canarias;Vivienda nueva;Índice;2018T2;115.259
Canarias;Vivienda nueva;Índice;2018T1;114.054
Canarias;Vivienda nueva;Índice;2017T4;113.712
Canarias;Vivienda nueva;Índice;2017T3;111.348
Canarias;Vivienda nueva;Índice;2017T2;110.658
Canarias;Vivienda nueva;Índice;2017T1;110.168
Canarias;Vivienda nueva;Índice;2016T4;106.697
Canarias;Vivienda nueva;Índice;2016T3;107.029
Canarias;Vivienda nueva;Índice;2016T2;108.492
Canarias;Vivienda nueva;Índice;2016T1;105.818
Canarias;Vivienda nueva;Índice;2015T4;101.313
Canarias;Vivienda nueva;Índice;2015T3;99.676
Canarias;Vivienda nueva;Índice;2015T2;101.145
Canarias;Vivienda nueva;Índice;2015T1;97.865
Canarias;Vivienda nueva;Índice;2014T4;94.915
Canarias;Vivienda nueva;Índice;2014T3;95.775
Canarias;Vivienda nueva;Índice;2014T2;95.663
Canarias;Vivienda nueva;Índice;2014T1;93.363
Canarias;Vivienda nueva;Índice;2013T4;94.321
Canarias;Vivienda nueva;Índice;2013T3;94.297
Canarias;Vivienda nueva;Índice;2013T2;93.702
Canarias;Vivienda nueva;Índice;2013T1;98.131
Canarias;Vivienda nueva;Índice;2012T4;102.966
Canarias;Vivienda nueva;Índice;2012T3;102.739
Canarias;Vivienda nueva;Índice;2012T2;106.435
Canarias;Vivienda nueva;Índice;2012T1;112.224
Canarias;Vivienda nueva;Índice;2011T4;116.828
Canarias;Vivienda nueva;Índice;2011T3;119.689
Canarias;Vivienda nueva;Índice;2011T2;123.219
Canarias;Vivienda nueva;Índice;2011T1;123.940
Canarias;Vivienda nueva;Índice;2010T4;124.110
Canarias;Vivienda nueva;Índice;2010T3;127.123
Canarias;Vivienda nueva;Índice;2010T2;128.886
Canarias;Vivienda nueva;Índice;2010T1;127.031
Canarias;Vivienda nueva;Índice;2009T4;129.586
Canarias;Vivienda nueva;Índice;2009T3;130.669
Canarias;Vivienda nueva;Índice;2009T2;130.913
Canarias;Vivienda nueva;Índice;2009T1;131.633
Canarias;Vivienda nueva;Índice;2008T4;132.766
Canarias;Vivienda nueva;Índice;2008T3;132.964
Canarias;Vivienda nueva;Índice;2008T2;131.175
Canarias;Vivienda nueva;Índice;2008T1;130.535
Canarias;Vivienda nueva;Índice;2007T4;129.262
Canarias;Vivienda nueva;Índice;2007T3;125.283
Canarias;Vivienda nueva;Índice;2007T2;121.882
Canarias;Vivienda nueva;Índice;2007T1;118.587
Canarias;Vivienda nueva;Variación trimestral;2019T4;0.5
Canarias;Vivienda nueva;Variación trimestral;2019T3;0.6
Canarias;Vivienda nueva;Variación trimestral;2019T2;-2.1
Canarias;Vivienda nueva;Variación trimestral;2019T1;3.1
Canarias;Vivienda nueva;Variación trimestral;2018T4;3.4
Canarias;Vivienda nueva;Variación trimestral;2018T3;1.0
Canarias;Vivienda nueva;Variación trimestral;2018T2;1.1
Canarias;Vivienda nueva;Variación trimestral;2018T1;0.3
Canarias;Vivienda nueva;Variación trimestral;2017T4;2.1
Canarias;Vivienda nueva;Variación trimestral;2017T3;0.6
