Comunidades autónomas;Tipo de dato;Periodo;Total
Comunidad Valenciana;Tasa de variación acumulada;2016M10;1776
Comunidad Valenciana;Tasa de variación acumulada;2016M09;1726
Comunidad Valenciana;Tasa de variación acumulada;2016M08;1749
Comunidad Valenciana;Tasa de variación acumulada;2016M07;1914
Comunidad Valenciana;Tasa de variación acumulada;2016M06;2038
Comunidad Valenciana;Tasa de variación acumulada;2016M05;2191
Comunidad Valenciana;Tasa de variación acumulada;2016M04;2220
Comunidad Valenciana;Tasa de variación acumulada;2016M03;2569
Comunidad Valenciana;Tasa de variación acumulada;2016M02;2595
Comunidad Valenciana;Tasa de variación acumulada;2016M01;2432
Comunidad Valenciana;Tasa de variación acumulada;2015M12;""
Comunidad Valenciana;Tasa de variación acumulada;2015M11;""
Comunidad Valenciana;Tasa de variación acumulada;2015M10;""
Comunidad de Madrid;Dato base;2020M01;611422
Comunidad de Madrid;Dato base;2019M12;529059
Comunidad de Madrid;Dato base;2019M11;665852
Comunidad de Madrid;Dato base;2019M10;750773
Comunidad de Madrid;Dato base;2019M09;669208
Comunidad de Madrid;Dato base;2019M08;541890
Comunidad de Madrid;Dato base;2019M07;626996
Comunidad de Madrid;Dato base;2019M06;693021
Comunidad de Madrid;Dato base;2019M05;753952
Comunidad de Madrid;Dato base;2019M04;641086
Comunidad de Madrid;Dato base;2019M03;682976
Comunidad de Madrid;Dato base;2019M02;499175
Comunidad de Madrid;Dato base;2019M01;584339
Comunidad de Madrid;Dato base;2018M12;526753
Comunidad de Madrid;Dato base;2018M11;603691
Comunidad de Madrid;Dato base;2018M10;709987
Comunidad de Madrid;Dato base;2018M09;697128
Comunidad de Madrid;Dato base;2018M08;507079
Comunidad de Madrid;Dato base;2018M07;619516
Comunidad de Madrid;Dato base;2018M06;603147
Comunidad de Madrid;Dato base;2018M05;659045
Comunidad de Madrid;Dato base;2018M04;631303
Comunidad de Madrid;Dato base;2018M03;560178
Comunidad de Madrid;Dato base;2018M02;485810
Comunidad de Madrid;Dato base;2018M01;536137
Comunidad de Madrid;Dato base;2017M12;476155
Comunidad de Madrid;Dato base;2017M11;534430
Comunidad de Madrid;Dato base;2017M10;628904
Comunidad de Madrid;Dato base;2017M09;639120
Comunidad de Madrid;Dato base;2017M08;530335
Comunidad de Madrid;Dato base;2017M07;579523
Comunidad de Madrid;Dato base;2017M06;594801
Comunidad de Madrid;Dato base;2017M05;624915
Comunidad de Madrid;Dato base;2017M04;672738
Comunidad de Madrid;Dato base;2017M03;478054
Comunidad de Madrid;Dato base;2017M02;450927
Comunidad de Madrid;Dato base;2017M01;489884
Comunidad de Madrid;Dato base;2016M12;431820
Comunidad de Madrid;Dato base;2016M11;454904
Comunidad de Madrid;Dato base;2016M10;584304
Comunidad de Madrid;Dato base;2016M09;581127
Comunidad de Madrid;Dato base;2016M08;491071
Comunidad de Madrid;Dato base;2016M07;514073
Comunidad de Madrid;Dato base;2016M06;455275
Comunidad de Madrid;Dato base;2016M05;559893
Comunidad de Madrid;Dato base;2016M04;600945
Comunidad de Madrid;Dato base;2016M03;379512
Comunidad de Madrid;Dato base;2016M02;332794
Comunidad de Madrid;Dato base;2016M01;397420
Comunidad de Madrid;Dato base;2015M12;332461
Comunidad de Madrid;Dato base;2015M11;371205
Comunidad de Madrid;Dato base;2015M10;562247
Comunidad de Madrid;Tasa de variación anual;2020M01;463
Comunidad de Madrid;Tasa de variación anual;2019M12;044
Comunidad de Madrid;Tasa de variación anual;2019M11;1030
Comunidad de Madrid;Tasa de variación anual;2019M10;574
Comunidad de Madrid;Tasa de variación anual;2019M09;-401
Comunidad de Madrid;Tasa de variación anual;2019M08;687
Comunidad de Madrid;Tasa de variación anual;2019M07;121
Comunidad de Madrid;Tasa de variación anual;2019M06;1490
Comunidad de Madrid;Tasa de variación anual;2019M05;1440
Comunidad de Madrid;Tasa de variación anual;2019M04;155
Comunidad de Madrid;Tasa de variación anual;2019M03;2192
Comunidad de Madrid;Tasa de variación anual;2019M02;275
Comunidad de Madrid;Tasa de variación anual;2019M01;899
Comunidad de Madrid;Tasa de variación anual;2018M12;1063
Comunidad de Madrid;Tasa de variación anual;2018M11;1296
Comunidad de Madrid;Tasa de variación anual;2018M10;1289
Comunidad de Madrid;Tasa de variación anual;2018M09;908
Comunidad de Madrid;Tasa de variación anual;2018M08;-439
Comunidad de Madrid;Tasa de variación anual;2018M07;690
Comunidad de Madrid;Tasa de variación anual;2018M06;140
Comunidad de Madrid;Tasa de variación anual;2018M05;546
Comunidad de Madrid;Tasa de variación anual;2018M04;-616
Comunidad de Madrid;Tasa de variación anual;2018M03;1718
Comunidad de Madrid;Tasa de variación anual;2018M02;774
Comunidad de Madrid;Tasa de variación anual;2018M01;944
Comunidad de Madrid;Tasa de variación anual;2017M12;1027
Comunidad de Madrid;Tasa de variación anual;2017M11;1748
Comunidad de Madrid;Tasa de variación anual;2017M10;763
Comunidad de Madrid;Tasa de variación anual;2017M09;998
Comunidad de Madrid;Tasa de variación anual;2017M08;800
Comunidad de Madrid;Tasa de variación anual;2017M07;1273
Comunidad de Madrid;Tasa de variación anual;2017M06;3065
Comunidad de Madrid;Tasa de variación anual;2017M05;1161
Comunidad de Madrid;Tasa de variación anual;2017M04;1195
Comunidad de Madrid;Tasa de variación anual;2017M03;2597
Comunidad de Madrid;Tasa de variación anual;2017M02;3550
Comunidad de Madrid;Tasa de variación anual;2017M01;2327
Comunidad de Madrid;Tasa de variación anual;2016M12;2989
Comunidad de Madrid;Tasa de variación anual;2016M11;2255
Comunidad de Madrid;Tasa de variación anual;2016M10;392
Comunidad de Madrid;Tasa de variación anual;2016M09;2350
Comunidad de Madrid;Tasa de variación anual;2016M08;1825
Comunidad de Madrid;Tasa de variación anual;2016M07;1699
Comunidad de Madrid;Tasa de variación anual;2016M06;1787
Comunidad de Madrid;Tasa de variación anual;2016M05;275
Comunidad de Madrid;Tasa de variación anual;2016M04;1464
Comunidad de Madrid;Tasa de variación anual;2016M03;401
Comunidad de Madrid;Tasa de variación anual;2016M02;729
Comunidad de Madrid;Tasa de variación anual;2016M01;1405
Comunidad de Madrid;Tasa de variación anual;2015M12;794
Comunidad de Madrid;Tasa de variación anual;2015M11;1404
Comunidad de Madrid;Tasa de variación anual;2015M10;1900
Comunidad de Madrid;Acumulado en lo que va de año;2020M01;611422
Comunidad de Madrid;Acumulado en lo que va de año;2019M12;7638375
Comunidad de Madrid;Acumulado en lo que va de año;2019M11;7109316
Comunidad de Madrid;Acumulado en lo que va de año;2019M10;6443464
Comunidad de Madrid;Acumulado en lo que va de año;2019M09;5692691
Comunidad de Madrid;Acumulado en lo que va de año;2019M08;5023484
Comunidad de Madrid;Acumulado en lo que va de año;2019M07;4481594
Comunidad de Madrid;Acumulado en lo que va de año;2019M06;3854597
Comunidad de Madrid;Acumulado en lo que va de año;2019M05;3161576
Comunidad de Madrid;Acumulado en lo que va de año;2019M04;2407624
Comunidad de Madrid;Acumulado en lo que va de año;2019M03;1766538
Comunidad de Madrid;Acumulado en lo que va de año;2019M02;1083562
Comunidad de Madrid;Acumulado en lo que va de año;2019M01;584339
Comunidad de Madrid;Acumulado en lo que va de año;2018M12;7139775
Comunidad de Madrid;Acumulado en lo que va de año;2018M11;6613021
Comunidad de Madrid;Acumulado en lo que va de año;2018M10;6009330
Comunidad de Madrid;Acumulado en lo que va de año;2018M09;5299343
Comunidad de Madrid;Acumulado en lo que va de año;2018M08;4602215
Comunidad de Madrid;Acumulado en lo que va de año;2018M07;4095136
Comunidad de Madrid;Acumulado en lo que va de año;2018M06;3475620
Comunidad de Madrid;Acumulado en lo que va de año;2018M05;2872473
Comunidad de Madrid;Acumulado en lo que va de año;2018M04;2213428
Comunidad de Madrid;Acumulado en lo que va de año;2018M03;1582125
Comunidad de Madrid;Acumulado en lo que va de año;2018M02;1021947
Comunidad de Madrid;Acumulado en lo que va de año;2018M01;536137
Comunidad de Madrid;Acumulado en lo que va de año;2017M12;6699785
Comunidad de Madrid;Acumulado en lo que va de año;2017M11;6223630
Comunidad de Madrid;Acumulado en lo que va de año;2017M10;5689200
Comunidad de Madrid;Acumulado en lo que va de año;2017M09;5060296
Comunidad de Madrid;Acumulado en lo que va de año;2017M08;4421176
Comunidad de Madrid;Acumulado en lo que va de año;2017M07;3890841
Comunidad de Madrid;Acumulado en lo que va de año;2017M06;3311318
Comunidad de Madrid;Acumulado en lo que va de año;2017M05;2716517
Comunidad de Madrid;Acumulado en lo que va de año;2017M04;2091602
Comunidad de Madrid;Acumulado en lo que va de año;2017M03;1418864
Comunidad de Madrid;Acumulado en lo que va de año;2017M02;940811
Comunidad de Madrid;Acumulado en lo que va de año;2017M01;489884
Comunidad de Madrid;Acumulado en lo que va de año;2016M12;5783137
Comunidad de Madrid;Acumulado en lo que va de año;2016M11;5351317
Comunidad de Madrid;Acumulado en lo que va de año;2016M10;4896413
Comunidad de Madrid;Acumulado en lo que va de año;2016M09;4312109
Comunidad de Madrid;Acumulado en lo que va de año;2016M08;3730982
Comunidad de Madrid;Acumulado en lo que va de año;2016M07;3239911
Comunidad de Madrid;Acumulado en lo que va de año;2016M06;2725838
Comunidad de Madrid;Acumulado en lo que va de año;2016M05;2270564
Comunidad de Madrid;Acumulado en lo que va de año;2016M04;1710671
Comunidad de Madrid;Acumulado en lo que va de año;2016M03;1109726
Comunidad de Madrid;Acumulado en lo que va de año;2016M02;730214
Comunidad de Madrid;Acumulado en lo que va de año;2016M01;397420
Comunidad de Madrid;Acumulado en lo que va de año;2015M12;""
Comunidad de Madrid;Acumulado en lo que va de año;2015M11;""
Comunidad de Madrid;Acumulado en lo que va de año;2015M10;""
Comunidad de Madrid;Tasa de variación acumulada;2020M01;463
Comunidad de Madrid;Tasa de variación acumulada;2019M12;698
Comunidad de Madrid;Tasa de variación acumulada;2019M11;750
Comunidad de Madrid;Tasa de variación acumulada;2019M10;722
Comunidad de Madrid;Tasa de variación acumulada;2019M09;742
Comunidad de Madrid;Tasa de variación acumulada;2019M08;915
Comunidad de Madrid;Tasa de variación acumulada;2019M07;944
Comunidad de Madrid;Tasa de variación acumulada;2019M06;1090
Comunidad de Madrid;Tasa de variación acumulada;2019M05;1006
Comunidad de Madrid;Tasa de variación acumulada;2019M04;877
Comunidad de Madrid;Tasa de variación acumulada;2019M03;1166
Comunidad de Madrid;Tasa de variación acumulada;2019M02;603
Comunidad de Madrid;Tasa de variación acumulada;2019M01;899
Comunidad de Madrid;Tasa de variación acumulada;2018M12;657
Comunidad de Madrid;Tasa de variación acumulada;2018M11;626
Comunidad de Madrid;Tasa de variación acumulada;2018M10;563
Comunidad de Madrid;Tasa de variación acumulada;2018M09;472
Comunidad de Madrid;Tasa de variación acumulada;2018M08;409
Comunidad de Madrid;Tasa de variación acumulada;2018M07;525
Comunidad de Madrid;Tasa de variación acumulada;2018M06;496
Comunidad de Madrid;Tasa de variación acumulada;2018M05;574
Comunidad de Madrid;Tasa de variación acumulada;2018M04;582
Comunidad de Madrid;Tasa de variación acumulada;2018M03;1151
Comunidad de Madrid;Tasa de variación acumulada;2018M02;862
Comunidad de Madrid;Tasa de variación acumulada;2018M01;944
Comunidad de Madrid;Tasa de variación acumulada;2017M12;1585
Comunidad de Madrid;Tasa de variación acumulada;2017M11;1630
Comunidad de Madrid;Tasa de variación acumulada;2017M10;1619
Comunidad de Madrid;Tasa de variación acumulada;2017M09;1735
Comunidad de Madrid;Tasa de variación acumulada;2017M08;1850
Comunidad de Madrid;Tasa de variación acumulada;2017M07;2009
Comunidad de Madrid;Tasa de variación acumulada;2017M06;2148
Comunidad de Madrid;Tasa de variación acumulada;2017M05;1964
Comunidad de Madrid;Tasa de variación acumulada;2017M04;2227
Comunidad de Madrid;Tasa de variación acumulada;2017M03;2786
Comunidad de Madrid;Tasa de variación acumulada;2017M02;2884
Comunidad de Madrid;Tasa de variación acumulada;2017M01;2327
Comunidad de Madrid;Tasa de variación acumulada;2016M12;1406
Comunidad de Madrid;Tasa de variación acumulada;2016M11;1295
Comunidad de Madrid;Tasa de variación acumulada;2016M10;1214
Comunidad de Madrid;Tasa de variación acumulada;2016M09;1335
Comunidad de Madrid;Tasa de variación acumulada;2016M08;1192
Comunidad de Madrid;Tasa de variación acumulada;2016M07;1102
Comunidad de Madrid;Tasa de variación acumulada;2016M06;996
Comunidad de Madrid;Tasa de variación acumulada;2016M05;850
Comunidad de Madrid;Tasa de variación acumulada;2016M04;1053
Comunidad de Madrid;Tasa de variación acumulada;2016M03;842
Comunidad de Madrid;Tasa de variación acumulada;2016M02;1087
Comunidad de Madrid;Tasa de variación acumulada;2016M01;1405
Comunidad de Madrid;Tasa de variación acumulada;2015M12;""
Comunidad de Madrid;Tasa de variación acumulada;2015M11;""
Comunidad de Madrid;Tasa de variación acumulada;2015M10;""
Otras Comunidades Autónomas;Dato base;2020M01;412262
Otras Comunidades Autónomas;Dato base;2019M12;450772
Otras Comunidades Autónomas;Dato base;2019M11;433271
Otras Comunidades Autónomas;Dato base;2019M10;738323
Otras Comunidades Autónomas;Dato base;2019M09;850056
Otras Comunidades Autónomas;Dato base;2019M08;1255888
Otras Comunidades Autónomas;Dato base;2019M07;998490
Otras Comunidades Autónomas;Dato base;2019M06;807329
Otras Comunidades Autónomas;Dato base;2019M05;698557
Otras Comunidades Autónomas;Dato base;2019M04;695662
Otras Comunidades Autónomas;Dato base;2019M03;488517
Otras Comunidades Autónomas;Dato base;2019M02;401248
Otras Comunidades Autónomas;Dato base;2019M01;411955
Otras Comunidades Autónomas;Dato base;2018M12;438778
Otras Comunidades Autónomas;Dato base;2018M11;424567
Otras Comunidades Autónomas;Dato base;2018M10;731627
Otras Comunidades Autónomas;Dato base;2018M09;831695
Otras Comunidades Autónomas;Dato base;2018M08;1239564
Otras Comunidades Autónomas;Dato base;2018M07;962995
Otras Comunidades Autónomas;Dato base;2018M06;653738
Otras Comunidades Autónomas;Dato base;2018M05;761962
Otras Comunidades Autónomas;Dato base;2018M04;730316
Otras Comunidades Autónomas;Dato base;2018M03;453476
Otras Comunidades Autónomas;Dato base;2018M02;337950
Otras Comunidades Autónomas;Dato base;2018M01;413842
Otras Comunidades Autónomas;Dato base;2017M12;416889
Otras Comunidades Autónomas;Dato base;2017M11;437748
Otras Comunidades Autónomas;Dato base;2017M10;645718
Otras Comunidades Autónomas;Dato base;2017M09;808077
Otras Comunidades Autónomas;Dato base;2017M08;1200137
Otras Comunidades Autónomas;Dato base;2017M07;1111660
Otras Comunidades Autónomas;Dato base;2017M06;635744
Otras Comunidades Autónomas;Dato base;2017M05;651158
Otras Comunidades Autónomas;Dato base;2017M04;605784
Otras Comunidades Autónomas;Dato base;2017M03;424202
Otras Comunidades Autónomas;Dato base;2017M02;318335
Otras Comunidades Autónomas;Dato base;2017M01;344125
Otras Comunidades Autónomas;Dato base;2016M12;388197
Otras Comunidades Autónomas;Dato base;2016M11;392468
Otras Comunidades Autónomas;Dato base;2016M10;622031
Otras Comunidades Autónomas;Dato base;2016M09;721945
Otras Comunidades Autónomas;Dato base;2016M08;1139144
Otras Comunidades Autónomas;Dato base;2016M07;883891
Otras Comunidades Autónomas;Dato base;2016M06;577033
Otras Comunidades Autónomas;Dato base;2016M05;549674
Otras Comunidades Autónomas;Dato base;2016M04;556678
Otras Comunidades Autónomas;Dato base;2016M03;408953
Otras Comunidades Autónomas;Dato base;2016M02;293232
Otras Comunidades Autónomas;Dato base;2016M01;280922
Otras Comunidades Autónomas;Dato base;2015M12;373199
Otras Comunidades Autónomas;Dato base;2015M11;318319
Otras Comunidades Autónomas;Dato base;2015M10;641412
Otras Comunidades Autónomas;Tasa de variación anual;2020M01;007
Otras Comunidades Autónomas;Tasa de variación anual;2019M12;273
Otras Comunidades Autónomas;Tasa de variación anual;2019M11;205
Otras Comunidades Autónomas;Tasa de variación anual;2019M10;092
Otras Comunidades Autónomas;Tasa de variación anual;2019M09;221
Otras Comunidades Autónomas;Tasa de variación anual;2019M08;132
Otras Comunidades Autónomas;Tasa de variación anual;2019M07;369
Otras Comunidades Autónomas;Tasa de variación anual;2019M06;2349
Otras Comunidades Autónomas;Tasa de variación anual;2019M05;-832
Otras Comunidades Autónomas;Tasa de variación anual;2019M04;-475
Otras Comunidades Autónomas;Tasa de variación anual;2019M03;773
Otras Comunidades Autónomas;Tasa de variación anual;2019M02;1873
Otras Comunidades Autónomas;Tasa de variación anual;2019M01;-046
Otras Comunidades Autónomas;Tasa de variación anual;2018M12;525
Otras Comunidades Autónomas;Tasa de variación anual;2018M11;-301
Otras Comunidades Autónomas;Tasa de variación anual;2018M10;1330
Otras Comunidades Autónomas;Tasa de variación anual;2018M09;292
Otras Comunidades Autónomas;Tasa de variación anual;2018M08;329
Otras Comunidades Autónomas;Tasa de variación anual;2018M07;-1337
Otras Comunidades Autónomas;Tasa de variación anual;2018M06;283
Otras Comunidades Autónomas;Tasa de variación anual;2018M05;1702
Otras Comunidades Autónomas;Tasa de variación anual;2018M04;2056
Otras Comunidades Autónomas;Tasa de variación anual;2018M03;690
Otras Comunidades Autónomas;Tasa de variación anual;2018M02;616
Otras Comunidades Autónomas;Tasa de variación anual;2018M01;2026
Otras Comunidades Autónomas;Tasa de variación anual;2017M12;739
Otras Comunidades Autónomas;Tasa de variación anual;2017M11;1154
Otras Comunidades Autónomas;Tasa de variación anual;2017M10;381
Otras Comunidades Autónomas;Tasa de variación anual;2017M09;1193
Otras Comunidades Autónomas;Tasa de variación anual;2017M08;535
Otras Comunidades Autónomas;Tasa de variación anual;2017M07;2577
Otras Comunidades Autónomas;Tasa de variación anual;2017M06;1017
Otras Comunidades Autónomas;Tasa de variación anual;2017M05;1846
Otras Comunidades Autónomas;Tasa de variación anual;2017M04;882
Otras Comunidades Autónomas;Tasa de variación anual;2017M03;373
Otras Comunidades Autónomas;Tasa de variación anual;2017M02;856
Otras Comunidades Autónomas;Tasa de variación anual;2017M01;2250
Otras Comunidades Autónomas;Tasa de variación anual;2016M12;402
Otras Comunidades Autónomas;Tasa de variación anual;2016M11;2329
Otras Comunidades Autónomas;Tasa de variación anual;2016M10;-302
Otras Comunidades Autónomas;Tasa de variación anual;2016M09;365
Otras Comunidades Autónomas;Tasa de variación anual;2016M08;683
Otras Comunidades Autónomas;Tasa de variación anual;2016M07;-179
Otras Comunidades Autónomas;Tasa de variación anual;2016M06;1091
Otras Comunidades Autónomas;Tasa de variación anual;2016M05;457
Otras Comunidades Autónomas;Tasa de variación anual;2016M04;1293
Otras Comunidades Autónomas;Tasa de variación anual;2016M03;1693
Otras Comunidades Autónomas;Tasa de variación anual;2016M02;199
Otras Comunidades Autónomas;Tasa de variación anual;2016M01;-865
Otras Comunidades Autónomas;Tasa de variación anual;2015M12;653
Otras Comunidades Autónomas;Tasa de variación anual;2015M11;1822
Otras Comunidades Autónomas;Tasa de variación anual;2015M10;2574
Otras Comunidades Autónomas;Acumulado en lo que va de año;2020M01;412262
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M12;8230917
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M11;7780145
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M10;7346874
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M09;6608551
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M08;5758494
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M07;4502607
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M06;3504117
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M05;2696788
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M04;1998230
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M03;1302569
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M02;814052
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M01;411955
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M12;7980511
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M11;7541733
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M10;7117166
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M09;6385538
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M08;5553844
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M07;4314279
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M06;3351284
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M05;2697546
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M04;1935584
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M03;1205268
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M02;751792
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M01;413842
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M12;7599577
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M11;7182688
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M10;6744940
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M09;6099222
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M08;5291145
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M07;4091008
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M06;2979348
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M05;2343604
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M04;1692446
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M03;1086662
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M02;662460
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M01;344125
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M12;6814166
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M11;6425970
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M10;6033501
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M09;5411471
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M08;4689526
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M07;3550382
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M06;2666492
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M05;2089458
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M04;1539785
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M03;983106
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M02;574153
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M01;280922
Otras Comunidades Autónomas;Acumulado en lo que va de año;2015M12;""
Otras Comunidades Autónomas;Acumulado en lo que va de año;2015M11;""
Otras Comunidades Autónomas;Acumulado en lo que va de año;2015M10;""
Otras Comunidades Autónomas;Tasa de variación acumulada;2020M01;007
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M12;314
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M11;316
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M10;323
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M09;349
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M08;368
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M07;437
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M06;456
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M05;-003
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M04;324
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M03;807
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M02;828
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M01;-046
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M12;501
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M11;500
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M10;552
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M09;469
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M08;496
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M07;546
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M06;1248
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M05;1510
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M04;1437
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M03;1091
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M02;1348
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M01;2026
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M12;1153
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M11;1178
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M10;1179
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M09;1271
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M08;1283
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M07;1523
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M06;1173
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M05;1216
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M04;991
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M03;1053
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M02;1538
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M01;2250
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M12;517
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M11;524
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M10;424
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M09;515
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M08;538
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M07;493
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M06;736
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M05;642
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M04;710
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M03;406
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M02;-351
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M01;-865
Otras Comunidades Autónomas;Tasa de variación acumulada;2015M12;""
Otras Comunidades Autónomas;Tasa de variación acumulada;2015M11;""
Otras Comunidades Autónomas;Tasa de variación acumulada;2015M10;""
