TERRITORIO;TIPOLOGÍA PENAL;a_2013;a_2014;Var_porc_14s13
Municipio de Línea de la Concepción (La);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);19;24;26,3
Municipio de Línea de la Concepción (La);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);35;42;20
Municipio de Línea de la Concepción (La);6.-TRÁFICO DE DROGAS (EU);7;6;-14,3
Municipio de Línea de la Concepción (La);7.-DAÑOS;90;108;20
Municipio de Línea de la Concepción (La);8.-HURTOS;176;191;8,5
Municipio de Puerto de Santa María (El);1.-DELITOS Y FALTAS (EU);1026;1076;4,9
Municipio de Puerto de Santa María (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Puerto de Santa María (El);3.-DELINCUENCIA VIOLENTA (EU);29;26;-10,3
Municipio de Puerto de Santa María (El);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);20;17;-15
Municipio de Puerto de Santa María (El);4.-ROBOS CON FUERZA;155;144;-7,1
Municipio de Puerto de Santa María (El);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);36;50;38,9
Municipio de Puerto de Santa María (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);20;21;5
Municipio de Puerto de Santa María (El);6.-TRÁFICO DE DROGAS (EU);4;11;175
Municipio de Puerto de Santa María (El);7.-DAÑOS;167;174;4,2
Municipio de Puerto de Santa María (El);8.-HURTOS;332;377;13,6
Municipio de San Fernando;1.-DELITOS Y FALTAS (EU);910;912;0,2
Municipio de San Fernando;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de San Fernando;3.-DELINCUENCIA VIOLENTA (EU);24;17;-29,2
Municipio de San Fernando;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);20;10;-50
Municipio de San Fernando;4.-ROBOS CON FUERZA;87;85;-2,3
Municipio de San Fernando;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);9;23;155,6
Municipio de San Fernando;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);31;24;-22,6
Municipio de San Fernando;6.-TRÁFICO DE DROGAS (EU);1;3;200
Municipio de San Fernando;7.-DAÑOS;79;118;49,4
Municipio de San Fernando;8.-HURTOS;414;363;-12,3
Municipio de Sanlúcar de Barrameda;1.-DELITOS Y FALTAS (EU);558;618;10,8
Municipio de Sanlúcar de Barrameda;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Sanlúcar de Barrameda;3.-DELINCUENCIA VIOLENTA (EU);21;23;9,5
Municipio de Sanlúcar de Barrameda;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);18;15;-16,7
Municipio de Sanlúcar de Barrameda;4.-ROBOS CON FUERZA;93;120;29
Municipio de Sanlúcar de Barrameda;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);53;45;-15,1
Municipio de Sanlúcar de Barrameda;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);24;45;87,5
Municipio de Sanlúcar de Barrameda;6.-TRÁFICO DE DROGAS (EU);2;7;250
Municipio de Sanlúcar de Barrameda;7.-DAÑOS;59;73;23,7
Municipio de Sanlúcar de Barrameda;8.-HURTOS;204;205;0,5
Provincia de Córdoba;1.-DELITOS Y FALTAS (EU);7680;6800;-11,5
Provincia de Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100
Provincia de Córdoba;3.-DELINCUENCIA VIOLENTA (EU);278;199;-28,4
Provincia de Córdoba;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);238;150;-37
Provincia de Córdoba;4.-ROBOS CON FUERZA;1562;1311;-16,1
Provincia de Córdoba;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);425;413;-2,8
Provincia de Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);155;82;-47,1
Provincia de Córdoba;6.-TRÁFICO DE DROGAS (EU);29;45;55,2
Provincia de Córdoba;7.-DAÑOS;861;723;-16
Provincia de Córdoba;8.-HURTOS;2564;2171;-15,3
Municipio de Córdoba;1.-DELITOS Y FALTAS (EU);4306;3972;-7,8
Municipio de Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Municipio de Córdoba;3.-DELINCUENCIA VIOLENTA (EU);196;143;-27
Municipio de Córdoba;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);181;127;-29,8
Municipio de Córdoba;4.-ROBOS CON FUERZA;699;602;-13,9
Municipio de Córdoba;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);204;208;2
Municipio de Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);94;49;-47,9
Municipio de Córdoba;6.-TRÁFICO DE DROGAS (EU);18;38;111,1
Municipio de Córdoba;7.-DAÑOS;479;408;-14,8
Municipio de Córdoba;8.-HURTOS;1588;1395;-12,2
Provincia de Granada;1.-DELITOS Y FALTAS (EU);9829;8669;-11,8
Provincia de Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0
Provincia de Granada;3.-DELINCUENCIA VIOLENTA (EU);459;326;-29
Provincia de Granada;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);388;260;-33
Provincia de Granada;4.-ROBOS CON FUERZA;1819;1587;-12,8
Provincia de Granada;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);529;667;26,1
Provincia de Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);287;225;-21,6
Provincia de Granada;6.-TRÁFICO DE DROGAS (EU);65;71;9,2
Provincia de Granada;7.-DAÑOS;1062;1069;0,7
Provincia de Granada;8.-HURTOS;3366;2654;-21,2
Municipio de Granada;1.-DELITOS Y FALTAS (EU);4326;3481;-19,5
Municipio de Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
