TERRITORIO;TIPOLOGÍA PENAL;a_2013;a_2014;Var_porc_14s13
Municipio de Arona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);38;34;-10,5
Municipio de Arona;6.-TRÁFICO DE DROGAS (EU);3;1;-66,7
Municipio de Arona;7.-DAÑOS;93;71;-23,7
Municipio de Arona;8.-HURTOS;986;781;-20,8
Municipio de San Cristóbal de la Laguna;1.-DELITOS Y FALTAS (EU);1444;1508;4,4
Municipio de San Cristóbal de la Laguna;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de San Cristóbal de la Laguna;3.-DELINCUENCIA VIOLENTA (EU);53;47;-11,3
Municipio de San Cristóbal de la Laguna;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);35;29;-17,1
Municipio de San Cristóbal de la Laguna;4.-ROBOS CON FUERZA;276;344;24,6
Municipio de San Cristóbal de la Laguna;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);88;71;-19,3
Municipio de San Cristóbal de la Laguna;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);41;48;17,1
Municipio de San Cristóbal de la Laguna;6.-TRÁFICO DE DROGAS (EU);18;12;-33,3
Municipio de San Cristóbal de la Laguna;7.-DAÑOS;157;159;1,3
Municipio de San Cristóbal de la Laguna;8.-HURTOS;423;387;-8,5
Municipio de Santa Cruz de Tenerife;1.-DELITOS Y FALTAS (EU);2561;2500;-2,4
Municipio de Santa Cruz de Tenerife;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Santa Cruz de Tenerife;3.-DELINCUENCIA VIOLENTA (EU);110;89;-19,1
Municipio de Santa Cruz de Tenerife;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);73;56;-23,3
Municipio de Santa Cruz de Tenerife;4.-ROBOS CON FUERZA;449;429;-4,5
Municipio de Santa Cruz de Tenerife;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);112;57;-49,1
Municipio de Santa Cruz de Tenerife;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);57;50;-12,3
Municipio de Santa Cruz de Tenerife;6.-TRÁFICO DE DROGAS (EU);22;22;0
Municipio de Santa Cruz de Tenerife;7.-DAÑOS;271;208;-23,2
Municipio de Santa Cruz de Tenerife;8.-HURTOS;895;895;0
CANTABRIA;1.-DELITOS Y FALTAS (EU);4162;4297;3,2
CANTABRIA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
CANTABRIA;3.-DELINCUENCIA VIOLENTA (EU);152;146;-3,9
CANTABRIA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);86;82;-4,7
CANTABRIA;4.-ROBOS CON FUERZA;671;684;1,9
CANTABRIA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);237;239;0,8
CANTABRIA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);71;81;14,1
CANTABRIA;6.-TRÁFICO DE DROGAS (EU);14;18;28,6
CANTABRIA;7.-DAÑOS;399;460;15,3
CANTABRIA;8.-HURTOS;1364;1348;-1,2
Municipio de Santander;1.-DELITOS Y FALTAS (EU);1601;1571;-1,9
Municipio de Santander;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Santander;3.-DELINCUENCIA VIOLENTA (EU);77;60;-22,1
Municipio de Santander;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);53;36;-32,1
Municipio de Santander;4.-ROBOS CON FUERZA;161;151;-6,2
Municipio de Santander;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);40;42;5
Municipio de Santander;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);26;40;53,8
Municipio de Santander;6.-TRÁFICO DE DROGAS (EU);8;8;0
Municipio de Santander;7.-DAÑOS;164;162;-1,2
Municipio de Santander;8.-HURTOS;669;634;-5,2
Municipio de Torrelavega;1.-DELITOS Y FALTAS (EU);451;399;-11,5
Municipio de Torrelavega;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Torrelavega;3.-DELINCUENCIA VIOLENTA (EU);25;29;16
Municipio de Torrelavega;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);14;15;7,1
Municipio de Torrelavega;4.-ROBOS CON FUERZA;52;64;23,1
Municipio de Torrelavega;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);17;19;11,8
Municipio de Torrelavega;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);4;5;25
Municipio de Torrelavega;6.-TRÁFICO DE DROGAS (EU);1;1;0
Municipio de Torrelavega;7.-DAÑOS;32;50;56,3
Municipio de Torrelavega;8.-HURTOS;171;130;-24
CASTILLA Y LEÓN;1.-DELITOS Y FALTAS (EU);19642;19519;-0,6
CASTILLA Y LEÓN;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;1;-83,3
CASTILLA Y LEÓN;3.-DELINCUENCIA VIOLENTA (EU);450;413;-8,2
CASTILLA Y LEÓN;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);303;254;-16,2
CASTILLA Y LEÓN;4.-ROBOS CON FUERZA;3264;3149;-3,5
CASTILLA Y LEÓN;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1033;1073;3,9
CASTILLA Y LEÓN;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);173;201;16,2
CASTILLA Y LEÓN;6.-TRÁFICO DE DROGAS (EU);70;62;-11,4
CASTILLA Y LEÓN;7.-DAÑOS;2640;2754;4,3
CASTILLA Y LEÓN;8.-HURTOS;6990;6641;-5
Provincia de Ávila;1.-DELITOS Y FALTAS (EU);1283;1282;-0,1
Provincia de Ávila;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Provincia de Ávila;3.-DELINCUENCIA VIOLENTA (EU);27;24;-11,1
Provincia de Ávila;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);14;14;0
Provincia de Ávila;4.-ROBOS CON FUERZA;284;317;11,6
Provincia de Ávila;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);135;172;27,4
Provincia de Ávila;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);18;16;-11,1
Provincia de Ávila;6.-TRÁFICO DE DROGAS (EU);7;5;-28,6
Provincia de Ávila;7.-DAÑOS;215;262;21,9
Provincia de Ávila;8.-HURTOS;294;239;-18,7
Municipio de Ávila;1.-DELITOS Y FALTAS (EU);408;387;-5,1
Municipio de Ávila;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Ávila;3.-DELINCUENCIA VIOLENTA (EU);8;8;0
Municipio de Ávila;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);5;8;60
Municipio de Ávila;4.-ROBOS CON FUERZA;40;50;25
Municipio de Ávila;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);8;9;12,5
Municipio de Ávila;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);6;9;50
Municipio de Ávila;6.-TRÁFICO DE DROGAS (EU);5;3;-40
Municipio de Ávila;7.-DAÑOS;78;96;23,1
Municipio de Ávila;8.-HURTOS;121;101;-16,5
Provincia de Burgos;1.-DELITOS Y FALTAS (EU);2842;2977;4,8
Provincia de Burgos;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100
Provincia de Burgos;3.-DELINCUENCIA VIOLENTA (EU);77;72;-6,5
Provincia de Burgos;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);55;44;-20
Provincia de Burgos;4.-ROBOS CON FUERZA;409;542;32,5
Provincia de Burgos;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);112;183;63,4
Provincia de Burgos;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);21;30;42,9
Provincia de Burgos;6.-TRÁFICO DE DROGAS (EU);13;14;7,7
Provincia de Burgos;7.-DAÑOS;407;439;7,9
Provincia de Burgos;8.-HURTOS;1107;1068;-3,5
Municipio de Burgos;1.-DELITOS Y FALTAS (EU);1558;1604;3
Municipio de Burgos;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Burgos;3.-DELINCUENCIA VIOLENTA (EU);49;52;6,1
Municipio de Burgos;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);40;35;-12,5
Municipio de Burgos;4.-ROBOS CON FUERZA;164;223;36
Municipio de Burgos;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);35;51;45,7
Municipio de Burgos;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);11;15;36,4
Municipio de Burgos;6.-TRÁFICO DE DROGAS (EU);6;5;-16,7
Municipio de Burgos;7.-DAÑOS;201;213;6
Municipio de Burgos;8.-HURTOS;774;748;-3,4
Provincia de León;1.-DELITOS Y FALTAS (EU);3976;3977;0
Provincia de León;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Provincia de León;3.-DELINCUENCIA VIOLENTA (EU);95;111;16,8
Provincia de León;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);72;75;4,2
Provincia de León;4.-ROBOS CON FUERZA;788;608;-22,8
Provincia de León;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);222;189;-14,9
Provincia de León;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);38;46;21,1
Provincia de León;6.-TRÁFICO DE DROGAS (EU);5;7;40
Provincia de León;7.-DAÑOS;511;560;9,6
Provincia de León;8.-HURTOS;1448;1362;-5,9
Municipio de León;1.-DELITOS Y FALTAS (EU);1627;1598;-1,8
Municipio de León;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de León;3.-DELINCUENCIA VIOLENTA (EU);64;73;14,1
Municipio de León;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);49;55;12,2
Municipio de León;4.-ROBOS CON FUERZA;219;120;-45,2
Municipio de León;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);22;25;13,6
Municipio de León;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);19;20;5,3
Municipio de León;6.-TRÁFICO DE DROGAS (EU);0;2;100
Municipio de León;7.-DAÑOS;197;204;3,6
Municipio de León;8.-HURTOS;792;725;-8,5
Municipio de Ponferrada;1.-DELITOS Y FALTAS (EU);527;548;4
Municipio de Ponferrada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Ponferrada;3.-DELINCUENCIA VIOLENTA (EU);12;12;0
Municipio de Ponferrada;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);10;9;-10
Municipio de Ponferrada;4.-ROBOS CON FUERZA;113;85;-24,8
Municipio de Ponferrada;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);41;20;-51,2
Municipio de Ponferrada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);3;8;166,7
Municipio de Ponferrada;6.-TRÁFICO DE DROGAS (EU);2;0;-100
Municipio de Ponferrada;7.-DAÑOS;63;91;44,4
Municipio de Ponferrada;8.-HURTOS;192;228;18,8
Provincia de Palencia;1.-DELITOS Y FALTAS (EU);1058;1016;-4
Provincia de Palencia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Provincia de Palencia;3.-DELINCUENCIA VIOLENTA (EU);16;23;43,8
Provincia de Palencia;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);12;7;-41,7
Provincia de Palencia;4.-ROBOS CON FUERZA;151;127;-15,9
Provincia de Palencia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);44;37;-15,9
Provincia de Palencia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);9;4;-55,6
Provincia de Palencia;6.-TRÁFICO DE DROGAS (EU);4;4;0
Provincia de Palencia;7.-DAÑOS;162;158;-2,5
Provincia de Palencia;8.-HURTOS;314;316;0,6
Municipio de Palencia;1.-DELITOS Y FALTAS (EU);540;509;-5,7
Municipio de Palencia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Palencia;3.-DELINCUENCIA VIOLENTA (EU);9;13;44,4
Municipio de Palencia;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);7;5;-28,6
Municipio de Palencia;4.-ROBOS CON FUERZA;68;43;-36,8
Municipio de Palencia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);12;12;0
Municipio de Palencia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);5;3;-40
Municipio de Palencia;6.-TRÁFICO DE DROGAS (EU);0;2;100
Municipio de Palencia;7.-DAÑOS;82;79;-3,7
Municipio de Palencia;8.-HURTOS;224;220;-1,8
Provincia de Salamanca;1.-DELITOS Y FALTAS (EU);2325;2224;-4,3
Provincia de Salamanca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Provincia de Salamanca;3.-DELINCUENCIA VIOLENTA (EU);72;68;-5,6
Provincia de Salamanca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);47;45;-4,3
Provincia de Salamanca;4.-ROBOS CON FUERZA;325;269;-17,2
Provincia de Salamanca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);106;103;-2,8
Provincia de Salamanca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);21;27;28,6
Provincia de Salamanca;6.-TRÁFICO DE DROGAS (EU);12;8;-33,3
Provincia de Salamanca;7.-DAÑOS;285;247;-13,3
Provincia de Salamanca;8.-HURTOS;942;770;-18,3
Municipio de Salamanca;1.-DELITOS Y FALTAS (EU);1200;1174;-2,2
Municipio de Salamanca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Salamanca;3.-DELINCUENCIA VIOLENTA (EU);53;49;-7,5
Municipio de Salamanca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);40;40;0
Municipio de Salamanca;4.-ROBOS CON FUERZA;104;98;-5,8
Municipio de Salamanca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);20;19;-5
Municipio de Salamanca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);11;10;-9,1
Municipio de Salamanca;6.-TRÁFICO DE DROGAS (EU);8;4;-50
Municipio de Salamanca;7.-DAÑOS;109;98;-10,1
Municipio de Salamanca;8.-HURTOS;622;478;-23,2
Provincia de Segovia;1.-DELITOS Y FALTAS (EU);1261;1148;-9
Provincia de Segovia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Provincia de Segovia;3.-DELINCUENCIA VIOLENTA (EU);22;19;-13,6
Provincia de Segovia;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);12;6;-50
Provincia de Segovia;4.-ROBOS CON FUERZA;252;229;-9,1
Provincia de Segovia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);92;85;-7,6
Provincia de Segovia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);9;8;-11,1
Provincia de Segovia;6.-TRÁFICO DE DROGAS (EU);3;5;66,7
Provincia de Segovia;7.-DAÑOS;196;182;-7,1
Provincia de Segovia;8.-HURTOS;358;286;-20,1
Municipio de Segovia;1.-DELITOS Y FALTAS (EU);522;446;-14,6
Municipio de Segovia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Segovia;3.-DELINCUENCIA VIOLENTA (EU);9;9;0
Municipio de Segovia;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);6;5;-16,7
Municipio de Segovia;4.-ROBOS CON FUERZA;55;49;-10,9
Municipio de Segovia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);5;14;180
Municipio de Segovia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);3;2;-33,3
Municipio de Segovia;6.-TRÁFICO DE DROGAS (EU);0;1;100
Municipio de Segovia;7.-DAÑOS;89;81;-9
Municipio de Segovia;8.-HURTOS;220;167;-24,1
Provincia de Soria;1.-DELITOS Y FALTAS (EU);580;537;-7,4
Provincia de Soria;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Provincia de Soria;3.-DELINCUENCIA VIOLENTA (EU);16;13;-18,8
Provincia de Soria;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);7;7;0
Provincia de Soria;4.-ROBOS CON FUERZA;91;91;0
Provincia de Soria;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);37;17;-54,1
Provincia de Soria;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);6;0;-100
Provincia de Soria;6.-TRÁFICO DE DROGAS (EU);5;2;-60
Provincia de Soria;7.-DAÑOS;81;93;14,8
Provincia de Soria;8.-HURTOS;166;160;-3,6
Municipio de Soria;1.-DELITOS Y FALTAS (EU);310;272;-12,3
Municipio de Soria;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Soria;3.-DELINCUENCIA VIOLENTA (EU);9;9;0
Municipio de Soria;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);5;4;-20
Municipio de Soria;4.-ROBOS CON FUERZA;27;31;14,8
Municipio de Soria;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);16;3;-81,3
Municipio de Soria;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);4;0;-100
Municipio de Soria;6.-TRÁFICO DE DROGAS (EU);3;1;-66,7
Municipio de Soria;7.-DAÑOS;47;47;0
Municipio de Soria;8.-HURTOS;101;99;-2
Provincia de Valladolid;1.-DELITOS Y FALTAS (EU);5135;5260;2,4
Provincia de Valladolid;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0
Provincia de Valladolid;3.-DELINCUENCIA VIOLENTA (EU);99;61;-38,4
Provincia de Valladolid;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);65;41;-36,9
Provincia de Valladolid;4.-ROBOS CON FUERZA;758;757;-0,1
Provincia de Valladolid;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);235;202;-14
Provincia de Valladolid;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);43;50;16,3
Provincia de Valladolid;6.-TRÁFICO DE DROGAS (EU);16;9;-43,8
Provincia de Valladolid;7.-DAÑOS;651;674;3,5
Provincia de Valladolid;8.-HURTOS;1994;2149;7,8
Municipio de Valladolid;1.-DELITOS Y FALTAS (EU);3143;3435;9,3
Municipio de Valladolid;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Valladolid;3.-DELINCUENCIA VIOLENTA (EU);79;44;-44,3
Municipio de Valladolid;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);60;34;-43,3
Municipio de Valladolid;4.-ROBOS CON FUERZA;351;374;6,6
Municipio de Valladolid;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);123;84;-31,7
Municipio de Valladolid;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);28;31;10,7
Municipio de Valladolid;6.-TRÁFICO DE DROGAS (EU);10;6;-40
Municipio de Valladolid;7.-DAÑOS;302;365;20,9
Municipio de Valladolid;8.-HURTOS;1461;1683;15,2
Provincia de Zamora;1.-DELITOS Y FALTAS (EU);1182;1098;-7,1
Provincia de Zamora;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Provincia de Zamora;3.-DELINCUENCIA VIOLENTA (EU);26;22;-15,4
Provincia de Zamora;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);19;15;-21,1
Provincia de Zamora;4.-ROBOS CON FUERZA;206;209;1,5
Provincia de Zamora;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);50;85;70
Provincia de Zamora;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);8;20;150
Provincia de Zamora;6.-TRÁFICO DE DROGAS (EU);5;8;60
Provincia de Zamora;7.-DAÑOS;132;139;5,3
Provincia de Zamora;8.-HURTOS;367;291;-20,7
Municipio de Zamora;1.-DELITOS Y FALTAS (EU);499;502;0,6
Municipio de Zamora;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Zamora;3.-DELINCUENCIA VIOLENTA (EU);15;16;6,7
Municipio de Zamora;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);13;12;-7,7
Municipio de Zamora;4.-ROBOS CON FUERZA;61;78;27,9
Municipio de Zamora;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);12;29;141,7
Municipio de Zamora;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);4;11;175
Municipio de Zamora;6.-TRÁFICO DE DROGAS (EU);2;6;200
Municipio de Zamora;7.-DAÑOS;63;53;-15,9
Municipio de Zamora;8.-HURTOS;177;173;-2,3
CASTILLA - LA MANCHA;1.-DELITOS Y FALTAS (EU);18449;17677;-4,2
CASTILLA - LA MANCHA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;4;-20
CASTILLA - LA MANCHA;3.-DELINCUENCIA VIOLENTA (EU);466;434;-6,9
CASTILLA - LA MANCHA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);324;274;-15,4
CASTILLA - LA MANCHA;4.-ROBOS CON FUERZA;5124;4673;-8,8
CASTILLA - LA MANCHA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1965;1963;-0,1
CASTILLA - LA MANCHA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);341;292;-14,4
CASTILLA - LA MANCHA;6.-TRÁFICO DE DROGAS (EU);83;74;-10,8
CASTILLA - LA MANCHA;7.-DAÑOS;2207;2120;-3,9
CASTILLA - LA MANCHA;8.-HURTOS;4495;4253;-5,4
Provincia de Albacete;1.-DELITOS Y FALTAS (EU);3436;3135;-8,8
Provincia de Albacete;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;0;-100
Provincia de Albacete;3.-DELINCUENCIA VIOLENTA (EU);112;93;-17
Provincia de Albacete;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);70;50;-28,6
Provincia de Albacete;4.-ROBOS CON FUERZA;716;550;-23,2
Provincia de Albacete;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);234;219;-6,4
Provincia de Albacete;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);45;63;40
Provincia de Albacete;6.-TRÁFICO DE DROGAS (EU);14;13;-7,1
Provincia de Albacete;7.-DAÑOS;398;319;-19,8
Provincia de Albacete;8.-HURTOS;1110;1055;-5
Municipio de Albacete;1.-DELITOS Y FALTAS (EU);1571;1447;-7,9
Municipio de Albacete;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100
Municipio de Albacete;3.-DELINCUENCIA VIOLENTA (EU);78;67;-14,1
Municipio de Albacete;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);58;38;-34,5
Municipio de Albacete;4.-ROBOS CON FUERZA;227;184;-18,9
Municipio de Albacete;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);70;66;-5,7
Municipio de Albacete;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);23;32;39,1
Municipio de Albacete;6.-TRÁFICO DE DROGAS (EU);6;4;-33,3
Municipio de Albacete;7.-DAÑOS;99;74;-25,3
Municipio de Albacete;8.-HURTOS;705;668;-5,2
Provincia de Ciudad Real;1.-DELITOS Y FALTAS (EU);3812;3598;-5,6
Provincia de Ciudad Real;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Provincia de Ciudad Real;3.-DELINCUENCIA VIOLENTA (EU);92;95;3,3
Provincia de Ciudad Real;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);61;51;-16,4
Provincia de Ciudad Real;4.-ROBOS CON FUERZA;875;737;-15,8
Provincia de Ciudad Real;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);279;211;-24,4
Provincia de Ciudad Real;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);61;33;-45,9
Provincia de Ciudad Real;6.-TRÁFICO DE DROGAS (EU);26;31;19,2
Provincia de Ciudad Real;7.-DAÑOS;446;459;2,9
Provincia de Ciudad Real;8.-HURTOS;1001;792;-20,9
Municipio de Ciudad Real;1.-DELITOS Y FALTAS (EU);722;655;-9,3
Municipio de Ciudad Real;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Ciudad Real;3.-DELINCUENCIA VIOLENTA (EU);28;29;3,6
Municipio de Ciudad Real;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);21;21;0
Municipio de Ciudad Real;4.-ROBOS CON FUERZA;101;88;-12,9
Municipio de Ciudad Real;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);39;26;-33,3
Municipio de Ciudad Real;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);13;8;-38,5
Municipio de Ciudad Real;6.-TRÁFICO DE DROGAS (EU);2;2;0
Municipio de Ciudad Real;7.-DAÑOS;75;70;-6,7
Municipio de Ciudad Real;8.-HURTOS;260;191;-26,5
Municipio de Puertollano;1.-DELITOS Y FALTAS (EU);464;458;-1,3
Municipio de Puertollano;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Puertollano;3.-DELINCUENCIA VIOLENTA (EU);10;10;0
Municipio de Puertollano;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);10;6;-40
Municipio de Puertollano;4.-ROBOS CON FUERZA;79;53;-32,9
Municipio de Puertollano;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);34;24;-29,4
Municipio de Puertollano;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);7;3;-57,1
Municipio de Puertollano;6.-TRÁFICO DE DROGAS (EU);0;3;100
Municipio de Puertollano;7.-DAÑOS;56;76;35,7
Municipio de Puertollano;8.-HURTOS;123;95;-22,8
Provincia de Cuenca;1.-DELITOS Y FALTAS (EU);1444;1391;-3,7
Provincia de Cuenca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Provincia de Cuenca;3.-DELINCUENCIA VIOLENTA (EU);33;34;3
Provincia de Cuenca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);19;25;31,6
Provincia de Cuenca;4.-ROBOS CON FUERZA;382;330;-13,6
Provincia de Cuenca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);111;114;2,7
Provincia de Cuenca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);14;20;42,9
Provincia de Cuenca;6.-TRÁFICO DE DROGAS (EU);3;3;0
Provincia de Cuenca;7.-DAÑOS;203;194;-4,4
Provincia de Cuenca;8.-HURTOS;382;357;-6,5
Municipio de Cuenca;1.-DELITOS Y FALTAS (EU);453;467;3,1
