TERRITORIO;TIPOLOGÕA PENAL;a_2012;a_2013;Var_porc_13s12
Barcelona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);48;28;-41,7
Barcelona;3.-DELINCUENCIA VIOLENTA (EU);31449;28452;-9,5
Barcelona;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);28497;25803;-9,5
Barcelona;4.-ROBOS CON FUERZA;55610;51913;-6,6
Barcelona;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);14191;14708;3,6
Barcelona;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);9436;8885;-5,8
Barcelona;6.-TRµFICO DE DROGAS (EU);1327;1251;-5,7
Barcelona;7.-DA•OS;29622;28094;-5,2
Barcelona;8.-HURTOS;145149;135248;-6,8
Bizkaia;1.-DELITOS Y FALTAS (EU);54144;53731;-0,8
Bizkaia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;7;0,0
Bizkaia;3.-DELINCUENCIA VIOLENTA (EU);3586;2747;-23,4
Bizkaia;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);2948;2166;-26,5
Bizkaia;4.-ROBOS CON FUERZA;9391;10342;10,1
Bizkaia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2876;3448;19,9
Bizkaia;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);479;420;-12,3
Bizkaia;6.-TRµFICO DE DROGAS (EU);206;199;-3,4
Bizkaia;7.-DA•OS;5789;4829;-16,6
Bizkaia;8.-HURTOS;16822;17608;4,7
Burgos;1.-DELITOS Y FALTAS (EU);13242;12120;-8,5
Burgos;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;2;-33,3
Burgos;3.-DELINCUENCIA VIOLENTA (EU);348;302;-13,2
Burgos;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);221;205;-7,2
Burgos;4.-ROBOS CON FUERZA;2111;1843;-12,7
Burgos;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);547;511;-6,6
Burgos;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);162;138;-14,8
Burgos;6.-TRµFICO DE DROGAS (EU);68;59;-13,2
Burgos;7.-DA•OS;1937;1793;-7,4
Burgos;8.-HURTOS;4803;4506;-6,2
C†ceres;1.-DELITOS Y FALTAS (EU);9272;8863;-4,4
C†ceres;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100,0
C†ceres;3.-DELINCUENCIA VIOLENTA (EU);213;195;-8,5
C†ceres;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);88;93;5,7
C†ceres;4.-ROBOS CON FUERZA;1676;1497;-10,7
C†ceres;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);437;418;-4,3
C†ceres;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);122;132;8,2
