TERRITORIO;TIPOLOGÍA PENAL;2014;2015;Var. % 15/14
Municipio de Córdoba;8.-HURTOS;5561;5427;-2,4
Provincia de Granada;1.-DELITOS Y FALTAS (EU);34098;32320;-5,2
Provincia de Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);10;6;-40,0
Provincia de Granada;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);901;718;-20,3
Provincia de Granada;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);2136;1986;-7,0
Provincia de Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);797;899;12,8
Provincia de Granada;6.-TRÁFICO DE DROGAS (EU);401;466;16,2
Provincia de Granada;7.-DAÑOS;3793;3458;-8,8
Provincia de Granada;8.-HURTOS;10879;10128;-6,9
Municipio de Granada;1.-DELITOS Y FALTAS (EU);13367;12592;-5,8
Municipio de Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Granada;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);620;390;-37,1
Municipio de Granada;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);444;439;-1,1
Municipio de Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);342;390;14,0
Municipio de Granada;6.-TRÁFICO DE DROGAS (EU);111;136;22,5
Municipio de Granada;7.-DAÑOS;1240;1091;-12,0
Municipio de Granada;8.-HURTOS;5476;5140;-6,1
Municipio de Motril;1.-DELITOS Y FALTAS (EU);2700;2550;-5,6
Municipio de Motril;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Motril;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);46;59;28,3
Municipio de Motril;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);185;108;-41,6
Municipio de Motril;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);55;45;-18,2
