TERRITORIO;TIPOLOGÍA PENAL;2012_ene_jun;2013_ene_jun;var_porc_13s12
BALEARS (ILLES);1.-DELITOS Y FALTAS (EU);32141;31362;-2,4
BALEARS (ILLES);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;8;100
BALEARS (ILLES);3.-DELINCUENCIA VIOLENTA (EU);1021;926;-9,3
BALEARS (ILLES);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);634;572;-9,8
BALEARS (ILLES);4.-ROBOS CON FUERZA;5559;4659;-16,2
BALEARS (ILLES);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2042;1707;-16,4
BALEARS (ILLES);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);716;674;-5,9
BALEARS (ILLES);6.-TRÁFICO DE DROGAS (EU);171;205;19,9
BALEARS (ILLES);7.-DAÑOS;2706;2239;-17,3
BALEARS (ILLES);8.-HURTOS;12660;13205;4,3
Provincia de Palmas (Las);1.-DELITOS Y FALTAS (EU);26370;25373;-3,8
Provincia de Palmas (Las);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;3;-40
Provincia de Palmas (Las);3.-DELINCUENCIA VIOLENTA (EU);904;868;-4
Provincia de Palmas (Las);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);590;557;-5,6
Provincia de Palmas (Las);4.-ROBOS CON FUERZA;3416;3595;5,2
Provincia de Palmas (Las);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);974;1067;9,5
Provincia de Palmas (Las);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);573;514;-10,3
Provincia de Palmas (Las);6.-TRÁFICO DE DROGAS (EU);196;195;-0,5
Provincia de Palmas (Las);7.-DAÑOS;2449;2239;-8,6
Provincia de Palmas (Las);8.-HURTOS;8067;8539;5,9
Provincia de Santa Cruz de Tenerife;1.-DELITOS Y FALTAS (EU);23073;22548;-2,3
Provincia de Santa Cruz de Tenerife;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;5;66,7
Provincia de Santa Cruz de Tenerife;3.-DELINCUENCIA VIOLENTA (EU);664;712;7,2
Provincia de Santa Cruz de Tenerife;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);407;408;0,2
Provincia de Santa Cruz de Tenerife;4.-ROBOS CON FUERZA;3870;3692;-4,6
Provincia de Santa Cruz de Tenerife;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1040;1110;6,7
Provincia de Santa Cruz de Tenerife;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);520;467;-10,2
Provincia de Santa Cruz de Tenerife;6.-TRÁFICO DE DROGAS (EU);153;137;-10,5
Provincia de Santa Cruz de Tenerife;7.-DAÑOS;1988;1893;-4,8
Provincia de Santa Cruz de Tenerife;8.-HURTOS;8126;8661;6,6
CANARIAS;1.-DELITOS Y FALTAS (EU);49443;47921;-3,1
CANARIAS;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);8;8;0
CANARIAS;3.-DELINCUENCIA VIOLENTA (EU);1568;1580;0,8
CANARIAS;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);997;965;-3,2
CANARIAS;4.-ROBOS CON FUERZA;7286;7287;0
CANARIAS;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2014;2177;8,1
CANARIAS;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1093;981;-10,2
CANARIAS;6.-TRÁFICO DE DROGAS (EU);349;332;-4,9
CANARIAS;7.-DAÑOS;4437;4132;-6,9
CANARIAS;8.-HURTOS;16193;17200;6,2
CANTABRIA;1.-DELITOS Y FALTAS (EU);9179;8201;-10,7
CANTABRIA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;3;100
CANTABRIA;3.-DELINCUENCIA VIOLENTA (EU);343;304;-11,4
CANTABRIA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);193;176;-8,8
CANTABRIA;4.-ROBOS CON FUERZA;1361;1207;-11,3
CANTABRIA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);440;425;-3,4
