TERRITORIO;TIPOLOGÍA PENAL;2012_ene_mar;2013_ene_mar;var_porc_13s12
ARAGÓN;1.-DELITOS Y FALTAS (EU);11964;11154;-6,8
ARAGÓN;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50
ARAGÓN;3.-DELINCUENCIA VIOLENTA (EU);488;508;4,1
ARAGÓN;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);366;382;4,4
ARAGÓN;4.-ROBOS CON FUERZA;2047;1987;-2,9
ARAGÓN;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);632;585;-7,4
ARAGÓN;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);123;155;26
ARAGÓN;6.-TRÁFICO DE DROGAS (EU);64;72;12,5
ARAGÓN;7.-DAÑOS;1781;1525;-14,4
ARAGÓN;8.-HURTOS;4334;3751;-13,5
ASTURIAS (PRINCIPADO DE);1.-DELITOS Y FALTAS (EU);6974;8016;14,9
ASTURIAS (PRINCIPADO DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50
ASTURIAS (PRINCIPADO DE);3.-DELINCUENCIA VIOLENTA (EU);288;323;12,2
ASTURIAS (PRINCIPADO DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);213;227;6,6
ASTURIAS (PRINCIPADO DE);4.-ROBOS CON FUERZA;832;853;2,5
ASTURIAS (PRINCIPADO DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);265;255;-3,8
ASTURIAS (PRINCIPADO DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);102;138;35,3
ASTURIAS (PRINCIPADO DE);6.-TRÁFICO DE DROGAS (EU);58;33;-43,1
ASTURIAS (PRINCIPADO DE);7.-DAÑOS;724;1177;62,6
ASTURIAS (PRINCIPADO DE);8.-HURTOS;2362;2555;8,2
BALEARS (ILLES);1.-DELITOS Y FALTAS (EU);13024;12108;-7
BALEARS (ILLES);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;4;100
BALEARS (ILLES);3.-DELINCUENCIA VIOLENTA (EU);399;351;-12
BALEARS (ILLES);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);248;214;-13,7
BALEARS (ILLES);4.-ROBOS CON FUERZA;2535;2069;-18,4
BALEARS (ILLES);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);998;851;-14,7
BALEARS (ILLES);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);339;301;-11,2
BALEARS (ILLES);6.-TRÁFICO DE DROGAS (EU);54;71;31,5
BALEARS (ILLES);7.-DAÑOS;1342;1085;-19,2
BALEARS (ILLES);8.-HURTOS;4144;3943;-4,9
Palmas (Las);1.-DELITOS Y FALTAS (EU);14004;13130;-6,2
Palmas (Las);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;2;-33,3
Palmas (Las);3.-DELINCUENCIA VIOLENTA (EU);468;447;-4,5
Palmas (Las);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);309;298;-3,6
Palmas (Las);4.-ROBOS CON FUERZA;1784;1908;7
Palmas (Las);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);511;544;6,5
Palmas (Las);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);311;310;-0,3
Palmas (Las);6.-TRÁFICO DE DROGAS (EU);109;94;-13,8
Palmas (Las);7.-DAÑOS;1262;1126;-10,8
Palmas (Las);8.-HURTOS;4461;4670;4,7
Santa Cruz de Tenerife;1.-DELITOS Y FALTAS (EU);12692;12169;-4,1
Santa Cruz de Tenerife;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;4;33,3
Santa Cruz de Tenerife;3.-DELINCUENCIA VIOLENTA (EU);349;378;8,3
Santa Cruz de Tenerife;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);210;225;7,1
Santa Cruz de Tenerife;4.-ROBOS CON FUERZA;2045;1941;-5,1
Santa Cruz de Tenerife;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);514;586;14
Santa Cruz de Tenerife;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);275;245;-10,9
Santa Cruz de Tenerife;6.-TRÁFICO DE DROGAS (EU);78;70;-10,3
Santa Cruz de Tenerife;7.-DAÑOS;1047;981;-6,3
Santa Cruz de Tenerife;8.-HURTOS;4788;5137;7,3
CANARIAS;1.-DELITOS Y FALTAS (EU);26696;25299;-5,2
CANARIAS;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;6;0
CANARIAS;3.-DELINCUENCIA VIOLENTA (EU);817;825;1
CANARIAS;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);519;523;0,8
CANARIAS;4.-ROBOS CON FUERZA;3829;3849;0,5
CANARIAS;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1025;1130;10,2
CANARIAS;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);586;555;-5,3
CANARIAS;6.-TRÁFICO DE DROGAS (EU);187;164;-12,3
CANARIAS;7.-DAÑOS;2309;2107;-8,7
CANARIAS;8.-HURTOS;9249;9807;6
CANTABRIA;1.-DELITOS Y FALTAS (EU);4599;4162;-9,5
CANTABRIA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
CANTABRIA;3.-DELINCUENCIA VIOLENTA (EU);162;152;-6,2
