TERRITORIO;TIPOLOGÍA PENAL;2012_ene_sept;2013_ene_sept;var_porc_13s12
Zaragoza;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;4;-20,0
Zaragoza;3.-DELINCUENCIA VIOLENTA (EU);1277;1233;-3,4
Zaragoza;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);980;881;-10,1
Zaragoza;4.-ROBOS CON FUERZA;4476;4101;-8,4
Zaragoza;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1316;1275;-3,1
Zaragoza;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);368;308;-16,3
Zaragoza;6.-TRÁFICO DE DROGAS (EU);139;205;47,5
Zaragoza;7.-DAÑOS;3896;3473;-10,9
Zaragoza;8.-HURTOS;10095;8641;-14,4
ARAGÓN;1.-DELITOS Y FALTAS (EU);34794;32340;-7,1
ARAGÓN;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;5;0,0
ARAGÓN;3.-DELINCUENCIA VIOLENTA (EU);1423;1394;-2,0
ARAGÓN;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1055;976;-7,5
ARAGÓN;4.-ROBOS CON FUERZA;5811;5299;-8,8
ARAGÓN;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1681;1639;-2,5
ARAGÓN;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);450;368;-18,2
ARAGÓN;6.-TRÁFICO DE DROGAS (EU);197;266;35,0
ARAGÓN;7.-DAÑOS;5069;4494;-11,3
ARAGÓN;8.-HURTOS;12079;10604;-12,2
ASTURIAS (PRINCIPADO DE);1.-DELITOS Y FALTAS (EU);22256;22971;3,2
ASTURIAS (PRINCIPADO DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;7;40,0
ASTURIAS (PRINCIPADO DE);3.-DELINCUENCIA VIOLENTA (EU);906;880;-2,9
ASTURIAS (PRINCIPADO DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);603;591;-2,0
ASTURIAS (PRINCIPADO DE);4.-ROBOS CON FUERZA;2578;2535;-1,7
