Comunidades,Años,Trimestre,PIB
Galicia,2011,2,12.3
Galicia,2011,3,12.5
Galicia,2011,4,12.7
Galicia,2012,1,13.5
Galicia,2012,2,14
Galicia,2012,3,14.1
Galicia,2012,4,15.4
Galicia,2013,1,17.7
Galicia,2013,2,17.6
Galicia,2013,3,17.1
Galicia,2013,4,17.2
Galicia,2014,1,18.9
Galicia,2014,2,18.5
Galicia,2014,3,18.3
Galicia,2014,4,18.5
Galicia,2015,1,18.1
Galicia,2015,2,18.5
Galicia,2015,3,18.5
Galicia,2015,4,18.4
Galicia,2016,1,18.7
Galicia,2016,2,18.6
Galicia,2016,3,18.3
Galicia,2016,4,18.6
Galicia,2017,1,19.8
Galicia,2017,2,19.2
Galicia,2017,3,18.7
Galicia,2017,4,18.6
Galicia,2018,1,19.3
Galicia,2018,2,18.8
Galicia,2018,3,18.4
Galicia,2018,4,18.1
Galicia,2019,1,18.4
Galicia,2019,2,18.3
Galicia,2019,3,17.8
Castilla-La Mancha,1995,1,2.6
Castilla-La Mancha,1995,2,2.4
Castilla-La Mancha,1995,3,2.5
Castilla-La Mancha,1995,4,2.6
Castilla-La Mancha,1996,1,2.5
Castilla-La Mancha,1996,2,2.4
Castilla-La Mancha,1996,3,2.4
Castilla-La Mancha,1996,4,2.7
Castilla-La Mancha,1997,1,2.7
Castilla-La Mancha,1997,2,2.9
Castilla-La Mancha,1997,3,3
Castilla-La Mancha,1997,4,2.8
Castilla-La Mancha,1998,1,2.6
Castilla-La Mancha,1998,2,2.9
Castilla-La Mancha,1998,3,2.7
Castilla-La Mancha,1998,4,3
Castilla-La Mancha,1999,1,2.9
Castilla-La Mancha,1999,2,2.6
Castilla-La Mancha,1999,3,2.5
Castilla-La Mancha,1999,4,2.8
Castilla-La Mancha,2000,1,2.8
Castilla-La Mancha,2000,2,2.7
Castilla-La Mancha,2000,3,3
Castilla-La Mancha,2000,4,2.8
Castilla-La Mancha,2001,1,2.7
Castilla-La Mancha,2001,2,2.8
Castilla-La Mancha,2001,3,2.9
Castilla-La Mancha,2001,4,2.6
Castilla-La Mancha,2002,1,2.5
Castilla-La Mancha,2002,2,3
Castilla-La Mancha,2002,3,2.5
Castilla-La Mancha,2002,4,3.1
Castilla-La Mancha,2003,1,3.3
Castilla-La Mancha,2003,2,4.1
Castilla-La Mancha,2003,3,3.9
Castilla-La Mancha,2003,4,2.9
Castilla-La Mancha,2004,1,3.4
Castilla-La Mancha,2004,2,3.9
Castilla-La Mancha,2004,3,4.4
Castilla-La Mancha,2004,4,3.6
Castilla-La Mancha,2005,1,3.5
Castilla-La Mancha,2005,2,3.8
Castilla-La Mancha,2005,3,3.5
Castilla-La Mancha,2005,4,4.2
Castilla-La Mancha,2006,1,4
Castilla-La Mancha,2006,2,3.9
Castilla-La Mancha,2006,3,3.8
Castilla-La Mancha,2006,4,4.4
Castilla-La Mancha,2007,1,4.1
Castilla-La Mancha,2007,2,4.7
Castilla-La Mancha,2007,3,4.1
Castilla-La Mancha,2007,4,4.7
Castilla-La Mancha,2008,1,5
Castilla-La Mancha,2008,2,5.7
Castilla-La Mancha,2008,3,5.8
Castilla-La Mancha,2008,4,6.4
Castilla-La Mancha,2009,1,7.2
Castilla-La Mancha,2009,2,9.2
Castilla-La Mancha,2009,3,8.6
Castilla-La Mancha,2009,4,10.9
Castilla-La Mancha,2010,1,11.2
Castilla-La Mancha,2010,2,12.9
Castilla-La Mancha,2010,3,14.1
Castilla-La Mancha,2010,4,15.6
Castilla-La Mancha,2011,1,16.4
Castilla-La Mancha,2011,2,16.8
Castilla-La Mancha,2011,3,17.7
Castilla-La Mancha,2011,4,17.8
Castilla-La Mancha,2012,1,17.1
Castilla-La Mancha,2012,2,25.5
Castilla-La Mancha,2012,3,25.6
Castilla-La Mancha,2012,4,27.2
Castilla-La Mancha,2013,1,27.5
Castilla-La Mancha,2013,2,28.2
Castilla-La Mancha,2013,3,28.2
Castilla-La Mancha,2013,4,31
Castilla-La Mancha,2014,1,34.1
Castilla-La Mancha,2014,2,34.8
Castilla-La Mancha,2014,3,35.1
Castilla-La Mancha,2014,4,36
Castilla-La Mancha,2015,1,35.5
Castilla-La Mancha,2015,2,35.8
Castilla-La Mancha,2015,3,35.3
Castilla-La Mancha,2015,4,35.8
Castilla-La Mancha,2016,1,35.8
Castilla-La Mancha,2016,2,36.3
Castilla-La Mancha,2016,3,36.2
Castilla-La Mancha,2016,4,36.5
Castilla-La Mancha,2017,1,36.1
Castilla-La Mancha,2017,2,36.3
Castilla-La Mancha,2017,3,36.1
Castilla-La Mancha,2017,4,35.9
Castilla-La Mancha,2018,1,35.5
Castilla-La Mancha,2018,2,35.9
Castilla-La Mancha,2018,3,35.7
Castilla-La Mancha,2018,4,35.3
Castilla-La Mancha,2019,1,35.1
Castilla-La Mancha,2019,2,35.3
Castilla-La Mancha,2019,3,35.2
La Rioja,1995,1,3.9
La Rioja,1995,2,3.9
La Rioja,1995,3,3.7
La Rioja,1995,4,3.8
La Rioja,1996,1,4
La Rioja,1996,2,3.9
La Rioja,1996,3,3.7
La Rioja,1996,4,3.3
La Rioja,1997,1,3.2
La Rioja,1997,2,3.5
La Rioja,1997,3,3.3
La Rioja,1997,4,2.9
La Rioja,1998,1,2.9
La Rioja,1998,2,2.9
La Rioja,1998,3,2.7
La Rioja,1998,4,2.9
La Rioja,1999,1,2.7
La Rioja,1999,2,2.5
La Rioja,1999,3,2.4
La Rioja,1999,4,3
La Rioja,2000,1,2.8
La Rioja,2000,2,2.8
La Rioja,2000,3,2.4
La Rioja,2000,4,2.9
La Rioja,2001,1,3.1
La Rioja,2001,2,3.4
La Rioja,2001,3,3.2
La Rioja,2001,4,3.1
La Rioja,2002,1,3.7
La Rioja,2002,2,3.5
La Rioja,2002,3,3.1
La Rioja,2002,4,3
La Rioja,2003,1,3.2
La Rioja,2003,2,2.9
La Rioja,2003,3,2.7
La Rioja,2003,4,3.1
La Rioja,2004,1,3.9
La Rioja,2004,2,3.7
La Rioja,2004,3,3.7
La Rioja,2004,4,3
La Rioja,2005,1,3.9
La Rioja,2005,2,3.8
La Rioja,2005,3,3.4
La Rioja,2005,4,2.7
La Rioja,2006,1,3.6
La Rioja,2006,2,3.6
La Rioja,2006,3,3.4
La Rioja,2006,4,2.5
La Rioja,2007,1,3.7
La Rioja,2007,2,4.7
La Rioja,2007,3,3.8
La Rioja,2007,4,3.5
La Rioja,2008,1,5
La Rioja,2008,2,5.6
La Rioja,2008,3,4.6
La Rioja,2008,4,4.8
La Rioja,2009,1,6.3
La Rioja,2009,2,7.7
La Rioja,2009,3,6.4
La Rioja,2009,4,6.4
La Rioja,2010,1,7.8
La Rioja,2010,2,8.6
La Rioja,2010,3,9.2
La Rioja,2010,4,9.1
La Rioja,2011,1,10.9
La Rioja,2011,2,11.4
La Rioja,2011,3,11.7
La Rioja,2011,4,11.4
La Rioja,2012,1,12.2
La Rioja,2012,2,13.9
La Rioja,2012,3,14
La Rioja,2012,4,13.6
La Rioja,2013,1,13.7
La Rioja,2013,2,14.6
La Rioja,2013,3,15
La Rioja,2013,4,15.2
La Rioja,2014,1,16.4
La Rioja,2014,2,17.2
La Rioja,2014,3,17.5
La Rioja,2014,4,17
La Rioja,2015,1,17.7
La Rioja,2015,2,18.1
La Rioja,2015,3,17.8
La Rioja,2015,4,18.3
La Rioja,2016,1,19.1
La Rioja,2016,2,19.4
La Rioja,2016,3,18.9
La Rioja,2016,4,18.8
La Rioja,2017,1,19.7
La Rioja,2017,2,20
La Rioja,2017,3,19
La Rioja,2017,4,19.3
La Rioja,2018,1,19.3
La Rioja,2018,2,19.9
La Rioja,2018,3,19.1
La Rioja,2018,4,19.1
La Rioja,2019,1,19.4
La Rioja,2019,2,20.2
La Rioja,2019,3,20.1
Ceuta,2009,Año,195366
Ceuta,2010,Año,200632
Ceuta,2011,Año,207131
Ceuta,2012,Año,269541
Ceuta,2013,Año,240686
Ceuta,2014,Año,219525
Ceuta,2015,Año,207826
Ceuta,2016,Año,202279
Ceuta,2017,Año,183604
Ceuta,2018,Año,178122
Melilla,2009,Año,91285
Melilla,2010,Año,102181
Melilla,2011,Año,112880
Melilla,2012,Año,113554
Melilla,2013,Año,107582
Melilla,2014,Año,103394
Melilla,2015,Año,91237
Melilla,2016,Año,94186
Melilla,2017,Año,67306
Melilla,2018,Año,74322
Región de Murcia,1995,1,5.6
Región de Murcia,1995,2,5.4
Región de Murcia,1995,3,5.2
Región de Murcia,1995,4,5.2
Región de Murcia,1996,1,5
Región de Murcia,1996,2,4.9
Región de Murcia,1996,3,4.9
Región de Murcia,1996,4,4.9
Región de Murcia,1997,1,4.8
Región de Murcia,1997,2,4.6
Región de Murcia,1997,3,4.5
Región de Murcia,1997,4,4.5
Región de Murcia,1998,1,4.7
Región de Murcia,1998,2,4.5
Región de Murcia,1998,3,4.1
Región de Murcia,1998,4,4.3
Región de Murcia,1999,1,4.6
Región de Murcia,1999,2,4.5
Región de Murcia,1999,3,4.1
Región de Murcia,1999,4,4.3
Región de Murcia,2000,1,4.2
Región de Murcia,2000,2,3.8
Región de Murcia,2000,3,3.9
Región de Murcia,2000,4,3.9
Región de Murcia,2001,1,3.8
Región de Murcia,2001,2,3.7
Región de Murcia,2001,3,3.3
Región de Murcia,2001,4,4
Región de Murcia,2002,1,3.7
Región de Murcia,2002,2,3.6
Región de Murcia,2002,3,3.6
Región de Murcia,2002,4,3.7
Región de Murcia,2003,1,3.7
Región de Murcia,2003,2,3.7
Región de Murcia,2003,3,3.6
Región de Murcia,2003,4,3.4
Región de Murcia,2004,1,3.6
Región de Murcia,2004,2,3.4
Región de Murcia,2004,3,3.2
Región de Murcia,2004,4,3.4
Región de Murcia,2005,1,3
Región de Murcia,2005,2,2.9
Región de Murcia,2005,3,3.1
Región de Murcia,2005,4,2.9
Región de Murcia,2006,1,2.8
Región de Murcia,2006,2,2.8
Región de Murcia,2006,3,2.8
Región de Murcia,2006,4,2.6
Región de Murcia,2007,1,2.6
Región de Murcia,2007,2,2.5
Región de Murcia,2007,3,2.4
Región de Murcia,2007,4,2.3
Región de Murcia,2008,1,2.4
Región de Murcia,2008,2,2.3
Región de Murcia,2008,3,2.5
Región de Murcia,2008,4,2.6
Región de Murcia,2009,1,3.7
Región de Murcia,2009,2,4.3
Región de Murcia,2009,3,4.8
Región de Murcia,2009,4,4.8
Región de Murcia,2010,1,6
Región de Murcia,2010,2,6.5
Región de Murcia,2010,3,7.2
Región de Murcia,2010,4,7.5
Región de Murcia,2011,1,8.5
Región de Murcia,2011,2,9.9
Región de Murcia,2011,3,10.1
Región de Murcia,2011,4,10.3
Región de Murcia,2012,1,11.2
Región de Murcia,2012,2,16
Región de Murcia,2012,3,16.2
Región de Murcia,2012,4,17.4
Región de Murcia,2013,1,17.9
Región de Murcia,2013,2,18.1
Región de Murcia,2013,3,18.8
Región de Murcia,2013,4,20.9
Región de Murcia,2014,1,23.1
Región de Murcia,2014,2,24.1
Región de Murcia,2014,3,25.2
Región de Murcia,2014,4,25.7
Región de Murcia,2015,1,26.4
Región de Murcia,2015,2,27
