Comunidad,Año,Trimestre,Tipo de delito,Denuncias
Extremadura,2013,2,"Robos con fuerza, violencia o intimidación",3106
Extremadura,2013,2,Sustracciones de vehículos,197
Extremadura,2013,2,Tráfico de drogas,129
Extremadura,2013,2,Otros,15027
Galicia,2013,2,Homicidios dolosos y asesinatos consumados,9
Galicia,2013,2,Hurtos,11656
Galicia,2013,2,"Robos con fuerza, violencia o intimidación",8077
Galicia,2013,2,Sustracciones de vehículos,750
Galicia,2013,2,Tráfico de drogas,182
Galicia,2013,2,Otros,40042
Comunidad de Madrid,2013,2,Homicidios dolosos y asesinatos consumados,17
Comunidad de Madrid,2013,2,Hurtos,78318
Comunidad de Madrid,2013,2,"Robos con fuerza, violencia o intimidación",43410
Comunidad de Madrid,2013,2,Sustracciones de vehículos,6524
Comunidad de Madrid,2013,2,Tráfico de drogas,919
Comunidad de Madrid,2013,2,Otros,195332
Región de Murcia,2013,2,Homicidios dolosos y asesinatos consumados,3
Región de Murcia,2013,2,Hurtos,8784
Región de Murcia,2013,2,"Robos con fuerza, violencia o intimidación",8009
Región de Murcia,2013,2,Sustracciones de vehículos,781
Región de Murcia,2013,2,Tráfico de drogas,151
Región de Murcia,2013,2,Otros,28080
Comunidad Foral de Navarra,2013,2,Homicidios dolosos y asesinatos consumados,2
Comunidad Foral de Navarra,2013,2,Hurtos,3166
Comunidad Foral de Navarra,2013,2,"Robos con fuerza, violencia o intimidación",1992
Comunidad Foral de Navarra,2013,2,Sustracciones de vehículos,132
Comunidad Foral de Navarra,2013,2,Tráfico de drogas,57
Comunidad Foral de Navarra,2013,2,Otros,10508
País Vasco,2013,2,Homicidios dolosos y asesinatos consumados,9
País Vasco,2013,2,Hurtos,13506
País Vasco,2013,2,"Robos con fuerza, violencia o intimidación",10780
País Vasco,2013,2,Sustracciones de vehículos,376
País Vasco,2013,2,Tráfico de drogas,191
País Vasco,2013,2,Otros,44777
La Rioja,2013,2,Homicidios dolosos y asesinatos consumados,0
La Rioja,2013,2,Hurtos,1415
La Rioja,2013,2,"Robos con fuerza, violencia o intimidación",1339
La Rioja,2013,2,Sustracciones de vehículos,55
La Rioja,2013,2,Tráfico de drogas,27
La Rioja,2013,2,Otros,4747
Ceuta,2013,2,Homicidios dolosos y asesinatos consumados,0
Ceuta,2013,2,Hurtos,616
Ceuta,2013,2,"Robos con fuerza, violencia o intimidación",471
Ceuta,2013,2,Sustracciones de vehículos,220
Ceuta,2013,2,Tráfico de drogas,558
