Comunidad,Año,Trimestre,Tipo de delito,Denuncias
Islas Baleares,2015,2,"Robos con fuerza, violencia o intimidación",4297
Islas Baleares,2015,2,Sustracciones de vehículos,627
Islas Baleares,2015,2,Tráfico de drogas,186
Islas Baleares,2015,2,Otros,28449
Canarias,2015,2,Homicidios dolosos y asesinatos consumados,10
Canarias,2015,2,Hurtos,15600
Canarias,2015,2,"Robos con fuerza, violencia o intimidación",7674
Canarias,2015,2,Sustracciones de vehículos,830
Canarias,2015,2,Tráfico de drogas,297
Canarias,2015,2,Otros,45445
Cantabria,2015,2,Homicidios dolosos y asesinatos consumados,3
Cantabria,2015,2,Hurtos,2378
Cantabria,2015,2,"Robos con fuerza, violencia o intimidación",1309
Cantabria,2015,2,Sustracciones de vehículos,118
Cantabria,2015,2,Tráfico de drogas,57
Cantabria,2015,2,Otros,8037
Castilla y León,2015,2,Homicidios dolosos y asesinatos consumados,5
Castilla y León,2015,2,Hurtos,12023
Castilla y León,2015,2,"Robos con fuerza, violencia o intimidación",5926
Castilla y León,2015,2,Sustracciones de vehículos,364
Castilla y León,2015,2,Tráfico de drogas,142
Castilla y León,2015,2,Otros,37144
Castilla-La Mancha,2015,2,Homicidios dolosos y asesinatos consumados,4
Castilla-La Mancha,2015,2,Hurtos,8391
Castilla-La Mancha,2015,2,"Robos con fuerza, violencia o intimidación",9039
Castilla-La Mancha,2015,2,Sustracciones de vehículos,642
Castilla-La Mancha,2015,2,Tráfico de drogas,172
Castilla-La Mancha,2015,2,Otros,34354
Cataluña,2015,2,Homicidios dolosos y asesinatos consumados,14
Cataluña,2015,2,Hurtos,80690
Cataluña,2015,2,"Robos con fuerza, violencia o intimidación",46071
Cataluña,2015,2,Sustracciones de vehículos,4106
Cataluña,2015,2,Tráfico de drogas,948
Cataluña,2015,2,Otros,206693
Comunidad Valenciana,2015,2,Homicidios dolosos y asesinatos consumados,22
Comunidad Valenciana,2015,2,Hurtos,38036
Comunidad Valenciana,2015,2,"Robos con fuerza, violencia o intimidación",24993
Comunidad Valenciana,2015,2,Sustracciones de vehículos,2135
Comunidad Valenciana,2015,2,Tráfico de drogas,710
Comunidad Valenciana,2015,2,Otros,116882
Extremadura,2015,2,Homicidios dolosos y asesinatos consumados,1
Extremadura,2015,2,Hurtos,4062
Extremadura,2015,2,"Robos con fuerza, violencia o intimidación",2453
Extremadura,2015,2,Sustracciones de vehículos,189
Extremadura,2015,2,Tráfico de drogas,86
Extremadura,2015,2,Otros,13693
Galicia,2015,2,Homicidios dolosos y asesinatos consumados,5
Galicia,2015,2,Hurtos,10827
Galicia,2015,2,"Robos con fuerza, violencia o intimidación",6647
Galicia,2015,2,Sustracciones de vehículos,481
Galicia,2015,2,Tráfico de drogas,167
Galicia,2015,2,Otros,38518
Comunidad de Madrid,2015,2,Homicidios dolosos y asesinatos consumados,7
Comunidad de Madrid,2015,2,Hurtos,74145
Comunidad de Madrid,2015,2,"Robos con fuerza, violencia o intimidación",36216
Comunidad de Madrid,2015,2,Sustracciones de vehículos,5464
Comunidad de Madrid,2015,2,Tráfico de drogas,764
Comunidad de Madrid,2015,2,Otros,185864
Región de Murcia,2015,2,Homicidios dolosos y asesinatos consumados,3
Región de Murcia,2015,2,Hurtos,7974
Región de Murcia,2015,2,"Robos con fuerza, violencia o intimidación",6567
Región de Murcia,2015,2,Sustracciones de vehículos,661
Región de Murcia,2015,2,Tráfico de drogas,124
Región de Murcia,2015,2,Otros,26601
Comunidad Foral de Navarra,2015,2,Homicidios dolosos y asesinatos consumados,2
Comunidad Foral de Navarra,2015,2,Hurtos,3499
Comunidad Foral de Navarra,2015,2,"Robos con fuerza, violencia o intimidación",1654
Comunidad Foral de Navarra,2015,2,Sustracciones de vehículos,97
Comunidad Foral de Navarra,2015,2,Tráfico de drogas,65
Comunidad Foral de Navarra,2015,2,Otros,11493
País Vasco,2015,2,Homicidios dolosos y asesinatos consumados,3
País Vasco,2015,2,Hurtos,12754
País Vasco,2015,2,"Robos con fuerza, violencia o intimidación",8313
País Vasco,2015,2,Sustracciones de vehículos,420
País Vasco,2015,2,Tráfico de drogas,175
País Vasco,2015,2,Otros,41621
La Rioja,2015,2,Homicidios dolosos y asesinatos consumados,0
La Rioja,2015,2,Hurtos,1376
La Rioja,2015,2,"Robos con fuerza, violencia o intimidación",852
La Rioja,2015,2,Sustracciones de vehículos,68
La Rioja,2015,2,Tráfico de drogas,36
La Rioja,2015,2,Otros,4216
Ceuta,2015,2,Homicidios dolosos y asesinatos consumados,0
Ceuta,2015,2,Hurtos,480
Ceuta,2015,2,"Robos con fuerza, violencia o intimidación",373
Ceuta,2015,2,Sustracciones de vehículos,167
Ceuta,2015,2,Tráfico de drogas,236
Ceuta,2015,2,Otros,2412
Melilla,2015,2,Homicidios dolosos y asesinatos consumados,1
Melilla,2015,2,Hurtos,637
Melilla,2015,2,"Robos con fuerza, violencia o intimidación",530
Melilla,2015,2,Sustracciones de vehículos,62
Melilla,2015,2,Tráfico de drogas,70
Melilla,2015,2,Otros,2393
Andalucía,2015,3,Homicidios dolosos y asesinatos consumados,48
Andalucía,2015,3,Hurtos,84454
Andalucía,2015,3,"Robos con fuerza, violencia o intimidación",0
Andalucía,2015,3,Sustracciones de vehículos,6698
Andalucía,2015,3,Tráfico de drogas,2469
Andalucía,2015,3,Otros,0
Aragón,2015,3,Homicidios dolosos y asesinatos consumados,7
Aragón,2015,3,Hurtos,8956
Aragón,2015,3,"Robos con fuerza, violencia o intimidación",0
Aragón,2015,3,Sustracciones de vehículos,267
Aragón,2015,3,Tráfico de drogas,215
Aragón,2015,3,Otros,0
Principado de Asturias,2015,3,Homicidios dolosos y asesinatos consumados,3
Principado de Asturias,2015,3,Hurtos,6170
Principado de Asturias,2015,3,"Robos con fuerza, violencia o intimidación",0
Principado de Asturias,2015,3,Sustracciones de vehículos,323
Principado de Asturias,2015,3,Tráfico de drogas,125
Principado de Asturias,2015,3,Otros,0
Islas Baleares,2015,3,Homicidios dolosos y asesinatos consumados,5
Islas Baleares,2015,3,Hurtos,22921
Islas Baleares,2015,3,"Robos con fuerza, violencia o intimidación",0
Islas Baleares,2015,3,Sustracciones de vehículos,1295
Islas Baleares,2015,3,Tráfico de drogas,366
Islas Baleares,2015,3,Otros,0
Canarias,2015,3,Homicidios dolosos y asesinatos consumados,12
Canarias,2015,3,Hurtos,22652
Canarias,2015,3,"Robos con fuerza, violencia o intimidación",0
Canarias,2015,3,Sustracciones de vehículos,1270
Canarias,2015,3,Tráfico de drogas,464
Canarias,2015,3,Otros,0
Cantabria,2015,3,Homicidios dolosos y asesinatos consumados,3
Cantabria,2015,3,Hurtos,3854
Cantabria,2015,3,"Robos con fuerza, violencia o intimidación",0
Cantabria,2015,3,Sustracciones de vehículos,183
Cantabria,2015,3,Tráfico de drogas,94
Cantabria,2015,3,Otros,0
Castilla y León,2015,3,Homicidios dolosos y asesinatos consumados,6
Castilla y León,2015,3,Hurtos,18290
Castilla y León,2015,3,"Robos con fuerza, violencia o intimidación",0
Castilla y León,2015,3,Sustracciones de vehículos,563
Castilla y León,2015,3,Tráfico de drogas,240
Castilla y León,2015,3,Otros,0
Castilla-La Mancha,2015,3,Homicidios dolosos y asesinatos consumados,11
Castilla-La Mancha,2015,3,Hurtos,12923
Castilla-La Mancha,2015,3,"Robos con fuerza, violencia o intimidación",0
Castilla-La Mancha,2015,3,Sustracciones de vehículos,922
Castilla-La Mancha,2015,3,Tráfico de drogas,272
Castilla-La Mancha,2015,3,Otros,0
Cataluña,2015,3,Homicidios dolosos y asesinatos consumados,28
Cataluña,2015,3,Hurtos,126154
Cataluña,2015,3,"Robos con fuerza, violencia o intimidación",0
Cataluña,2015,3,Sustracciones de vehículos,4290
Cataluña,2015,3,Tráfico de drogas,1458
Cataluña,2015,3,Otros,0
Comunidad Valenciana,2015,3,Homicidios dolosos y asesinatos consumados,34
Comunidad Valenciana,2015,3,Hurtos,60581
Comunidad Valenciana,2015,3,"Robos con fuerza, violencia o intimidación",0
Comunidad Valenciana,2015,3,Sustracciones de vehículos,3325
Comunidad Valenciana,2015,3,Tráfico de drogas,1176
Comunidad Valenciana,2015,3,Otros,0
Extremadura,2015,3,Homicidios dolosos y asesinatos consumados,1
Extremadura,2015,3,Hurtos,5931
Extremadura,2015,3,"Robos con fuerza, violencia o intimidación",0
Extremadura,2015,3,Sustracciones de vehículos,280
Extremadura,2015,3,Tráfico de drogas,153
Extremadura,2015,3,Otros,0
Galicia,2015,3,Homicidios dolosos y asesinatos consumados,11
Galicia,2015,3,Hurtos,17019
Galicia,2015,3,"Robos con fuerza, violencia o intimidación",0
Galicia,2015,3,Sustracciones de vehículos,727
Galicia,2015,3,Tráfico de drogas,261
Galicia,2015,3,Otros,0
Comunidad de Madrid,2015,3,Homicidios dolosos y asesinatos consumados,22
Comunidad de Madrid,2015,3,Hurtos,106046
Comunidad de Madrid,2015,3,"Robos con fuerza, violencia o intimidación",0
Comunidad de Madrid,2015,3,Sustracciones de vehículos,7642
Comunidad de Madrid,2015,3,Tráfico de drogas,1092
Comunidad de Madrid,2015,3,Otros,0
Región de Murcia,2015,3,Homicidios dolosos y asesinatos consumados,6
Región de Murcia,2015,3,Hurtos,12463
Región de Murcia,2015,3,"Robos con fuerza, violencia o intimidación",0
Región de Murcia,2015,3,Sustracciones de vehículos,934
Región de Murcia,2015,3,Tráfico de drogas,193
Región de Murcia,2015,3,Otros,0
Comunidad Foral de Navarra,2015,3,Homicidios dolosos y asesinatos consumados,3
Comunidad Foral de Navarra,2015,3,Hurtos,6327
Comunidad Foral de Navarra,2015,3,"Robos con fuerza, violencia o intimidación",0
Comunidad Foral de Navarra,2015,3,Sustracciones de vehículos,132
Comunidad Foral de Navarra,2015,3,Tráfico de drogas,111
Comunidad Foral de Navarra,2015,3,Otros,0
País Vasco,2015,3,Homicidios dolosos y asesinatos consumados,10
País Vasco,2015,3,Hurtos,20885
País Vasco,2015,3,"Robos con fuerza, violencia o intimidación",0
País Vasco,2015,3,Sustracciones de vehículos,669
País Vasco,2015,3,Tráfico de drogas,265
País Vasco,2015,3,Otros,0
La Rioja,2015,3,Homicidios dolosos y asesinatos consumados,0
La Rioja,2015,3,Hurtos,2139
La Rioja,2015,3,"Robos con fuerza, violencia o intimidación",0
La Rioja,2015,3,Sustracciones de vehículos,90
La Rioja,2015,3,Tráfico de drogas,44
La Rioja,2015,3,Otros,0
Ceuta,2015,3,Homicidios dolosos y asesinatos consumados,1
Ceuta,2015,3,Hurtos,797
Ceuta,2015,3,"Robos con fuerza, violencia o intimidación",0
Ceuta,2015,3,Sustracciones de vehículos,280
Ceuta,2015,3,Tráfico de drogas,308
Ceuta,2015,3,Otros,0
Melilla,2015,3,Homicidios dolosos y asesinatos consumados,1
Melilla,2015,3,Hurtos,1001
Melilla,2015,3,"Robos con fuerza, violencia o intimidación",0
Melilla,2015,3,Sustracciones de vehículos,87
Melilla,2015,3,Tráfico de drogas,86
Melilla,2015,3,Otros,0
Andalucía,2015,4,Homicidios dolosos y asesinatos consumados,65
Andalucía,2015,4,Hurtos,110734
Andalucía,2015,4,"Robos con fuerza, violencia o intimidación",0
Andalucía,2015,4,Sustracciones de vehículos,9045
Andalucía,2015,4,Tráfico de drogas,3086
Andalucía,2015,4,Otros,337137
Aragón,2015,4,Homicidios dolosos y asesinatos consumados,9
Aragón,2015,4,Hurtos,12180
Aragón,2015,4,"Robos con fuerza, violencia o intimidación",0
Aragón,2015,4,Sustracciones de vehículos,378
Aragón,2015,4,Tráfico de drogas,285
Aragón,2015,4,Otros,38436
Principado de Asturias,2015,4,Homicidios dolosos y asesinatos consumados,4
Principado de Asturias,2015,4,Hurtos,8288
Principado de Asturias,2015,4,"Robos con fuerza, violencia o intimidación",0
Principado de Asturias,2015,4,Sustracciones de vehículos,455
Principado de Asturias,2015,4,Tráfico de drogas,154
Principado de Asturias,2015,4,Otros,27013
Islas Baleares,2015,4,Homicidios dolosos y asesinatos consumados,8
Islas Baleares,2015,4,Hurtos,27680
Islas Baleares,2015,4,"Robos con fuerza, violencia o intimidación",0
Islas Baleares,2015,4,Sustracciones de vehículos,1774
Islas Baleares,2015,4,Tráfico de drogas,419
Islas Baleares,2015,4,Otros,66728
Canarias,2015,4,Homicidios dolosos y asesinatos consumados,20
Canarias,2015,4,Hurtos,30260
Canarias,2015,4,"Robos con fuerza, violencia o intimidación",0
Canarias,2015,4,Sustracciones de vehículos,1680
Canarias,2015,4,Tráfico de drogas,568
Canarias,2015,4,Otros,89550
Cantabria,2015,4,Homicidios dolosos y asesinatos consumados,3
Cantabria,2015,4,Hurtos,5079
Cantabria,2015,4,"Robos con fuerza, violencia o intimidación",0
Cantabria,2015,4,Sustracciones de vehículos,251
Cantabria,2015,4,Tráfico de drogas,115
Cantabria,2015,4,Otros,16746
Castilla y León,2015,4,Homicidios dolosos y asesinatos consumados,9
Castilla y León,2015,4,Hurtos,24427
Castilla y León,2015,4,"Robos con fuerza, violencia o intimidación",0
Castilla y León,2015,4,Sustracciones de vehículos,796
Castilla y León,2015,4,Tráfico de drogas,312
Castilla y León,2015,4,Otros,74265
Castilla-La Mancha,2015,4,Homicidios dolosos y asesinatos consumados,13
Castilla-La Mancha,2015,4,Hurtos,17089
Castilla-La Mancha,2015,4,"Robos con fuerza, violencia o intimidación",0
Castilla-La Mancha,2015,4,Sustracciones de vehículos,1284
Castilla-La Mancha,2015,4,Tráfico de drogas,352
Castilla-La Mancha,2015,4,Otros,66986
Cataluña,2015,4,Homicidios dolosos y asesinatos consumados,43
Cataluña,2015,4,Hurtos,165519
Cataluña,2015,4,"Robos con fuerza, violencia o intimidación",0
Cataluña,2015,4,Sustracciones de vehículos,4489
Cataluña,2015,4,Tráfico de drogas,1954
Cataluña,2015,4,Otros,415465
Comunidad Valenciana,2015,4,Homicidios dolosos y asesinatos consumados,48
Comunidad Valenciana,2015,4,Hurtos,78917
Comunidad Valenciana,2015,4,"Robos con fuerza, violencia o intimidación",0
Comunidad Valenciana,2015,4,Sustracciones de vehículos,4381
Comunidad Valenciana,2015,4,Tráfico de drogas,1505
Comunidad Valenciana,2015,4,Otros,234637
Extremadura,2015,4,Homicidios dolosos y asesinatos consumados,1
Extremadura,2015,4,Hurtos,8043
Extremadura,2015,4,"Robos con fuerza, violencia o intimidación",0
Extremadura,2015,4,Sustracciones de vehículos,382
Extremadura,2015,4,Tráfico de drogas,201
Extremadura,2015,4,Otros,27166
Galicia,2015,4,Homicidios dolosos y asesinatos consumados,19
Galicia,2015,4,Hurtos,22062
Galicia,2015,4,"Robos con fuerza, violencia o intimidación",0
Galicia,2015,4,Sustracciones de vehículos,990
Galicia,2015,4,Tráfico de drogas,347
Galicia,2015,4,Otros,76683
Comunidad de Madrid,2015,4,Homicidios dolosos y asesinatos consumados,30
Comunidad de Madrid,2015,4,Hurtos,144232
Comunidad de Madrid,2015,4,"Robos con fuerza, violencia o intimidación",0
Comunidad de Madrid,2015,4,Sustracciones de vehículos,10168
Comunidad de Madrid,2015,4,Tráfico de drogas,1441
Comunidad de Madrid,2015,4,Otros,364944
Región de Murcia,2015,4,Homicidios dolosos y asesinatos consumados,12
Región de Murcia,2015,4,Hurtos,16523
Región de Murcia,2015,4,"Robos con fuerza, violencia o intimidación",0
Región de Murcia,2015,4,Sustracciones de vehículos,1335
Región de Murcia,2015,4,Tráfico de drogas,248
Región de Murcia,2015,4,Otros,53146
Comunidad Foral de Navarra,2015,4,Homicidios dolosos y asesinatos consumados,3
Comunidad Foral de Navarra,2015,4,Hurtos,7822
Comunidad Foral de Navarra,2015,4,"Robos con fuerza, violencia o intimidación",0
Comunidad Foral de Navarra,2015,4,Sustracciones de vehículos,182
Comunidad Foral de Navarra,2015,4,Tráfico de drogas,132
Comunidad Foral de Navarra,2015,4,Otros,23475
País Vasco,2015,4,Homicidios dolosos y asesinatos consumados,11
País Vasco,2015,4,Hurtos,28196
País Vasco,2015,4,"Robos con fuerza, violencia o intimidación",0
País Vasco,2015,4,Sustracciones de vehículos,879
País Vasco,2015,4,Tráfico de drogas,356
País Vasco,2015,4,Otros,85506
La Rioja,2015,4,Homicidios dolosos y asesinatos consumados,1
La Rioja,2015,4,Hurtos,2880
La Rioja,2015,4,"Robos con fuerza, violencia o intimidación",0
La Rioja,2015,4,Sustracciones de vehículos,132
La Rioja,2015,4,Tráfico de drogas,61
La Rioja,2015,4,Otros,8519
Ceuta,2015,4,Homicidios dolosos y asesinatos consumados,1
Ceuta,2015,4,Hurtos,1068
Ceuta,2015,4,"Robos con fuerza, violencia o intimidación",0
Ceuta,2015,4,Sustracciones de vehículos,356
Ceuta,2015,4,Tráfico de drogas,388
Ceuta,2015,4,Otros,4966
Melilla,2015,4,Homicidios dolosos y asesinatos consumados,1
Melilla,2015,4,Hurtos,1327
Melilla,2015,4,"Robos con fuerza, violencia o intimidación",0
Melilla,2015,4,Sustracciones de vehículos,119
Melilla,2015,4,Tráfico de drogas,112
Melilla,2015,4,Otros,4888
Andalucía,2016,1,Homicidios dolosos y asesinatos consumados,16
Andalucía,2016,1,Hurtos,26466
Andalucía,2016,1,"Robos con fuerza, violencia o intimidación",0
Andalucía,2016,1,Sustracciones de vehículos,2091
Andalucía,2016,1,Tráfico de drogas,683
Andalucía,2016,1,Otros,0
Aragón,2016,1,Homicidios dolosos y asesinatos consumados,3
Aragón,2016,1,Hurtos,2952
Aragón,2016,1,"Robos con fuerza, violencia o intimidación",0
Aragón,2016,1,Sustracciones de vehículos,80
Aragón,2016,1,Tráfico de drogas,48
Aragón,2016,1,Otros,0
Principado de Asturias,2016,1,Homicidios dolosos y asesinatos consumados,3
Principado de Asturias,2016,1,Hurtos,1820
Principado de Asturias,2016,1,"Robos con fuerza, violencia o intimidación",0
Principado de Asturias,2016,1,Sustracciones de vehículos,85
Principado de Asturias,2016,1,Tráfico de drogas,14
Principado de Asturias,2016,1,Otros,0
Islas Baleares,2016,1,Homicidios dolosos y asesinatos consumados,2
Islas Baleares,2016,1,Hurtos,3552
Islas Baleares,2016,1,"Robos con fuerza, violencia o intimidación",0
Islas Baleares,2016,1,Sustracciones de vehículos,335
Islas Baleares,2016,1,Tráfico de drogas,64
Islas Baleares,2016,1,Otros,0
Canarias,2016,1,Homicidios dolosos y asesinatos consumados,3
Canarias,2016,1,Hurtos,8983
Canarias,2016,1,"Robos con fuerza, violencia o intimidación",0
Canarias,2016,1,Sustracciones de vehículos,425
Canarias,2016,1,Tráfico de drogas,136
Canarias,2016,1,Otros,0
Cantabria,2016,1,Homicidios dolosos y asesinatos consumados,0
Cantabria,2016,1,Hurtos,1151
Cantabria,2016,1,"Robos con fuerza, violencia o intimidación",0
Cantabria,2016,1,Sustracciones de vehículos,50
Cantabria,2016,1,Tráfico de drogas,15
Cantabria,2016,1,Otros,0
Castilla y León,2016,1,Homicidios dolosos y asesinatos consumados,0
Castilla y León,2016,1,Hurtos,5683
Castilla y León,2016,1,"Robos con fuerza, violencia o intimidación",0
Castilla y León,2016,1,Sustracciones de vehículos,221
Castilla y León,2016,1,Tráfico de drogas,64
Castilla y León,2016,1,Otros,0
Castilla-La Mancha,2016,1,Homicidios dolosos y asesinatos consumados,6
Castilla-La Mancha,2016,1,Hurtos,3853
Castilla-La Mancha,2016,1,"Robos con fuerza, violencia o intimidación",0
Castilla-La Mancha,2016,1,Sustracciones de vehículos,365
Castilla-La Mancha,2016,1,Tráfico de drogas,61
Castilla-La Mancha,2016,1,Otros,0
Cataluña,2016,1,Homicidios dolosos y asesinatos consumados,10
Cataluña,2016,1,Hurtos,36593
Cataluña,2016,1,"Robos con fuerza, violencia o intimidación",0
Cataluña,2016,1,Sustracciones de vehículos,1825
Cataluña,2016,1,Tráfico de drogas,469
Cataluña,2016,1,Otros,0
Comunidad Valenciana,2016,1,Homicidios dolosos y asesinatos consumados,11
Comunidad Valenciana,2016,1,Hurtos,18791
Comunidad Valenciana,2016,1,"Robos con fuerza, violencia o intimidación",0
Comunidad Valenciana,2016,1,Sustracciones de vehículos,1032
Comunidad Valenciana,2016,1,Tráfico de drogas,363
Comunidad Valenciana,2016,1,Otros,0
Extremadura,2016,1,Homicidios dolosos y asesinatos consumados,3
Extremadura,2016,1,Hurtos,1938
Extremadura,2016,1,"Robos con fuerza, violencia o intimidación",0
Extremadura,2016,1,Sustracciones de vehículos,93
Extremadura,2016,1,Tráfico de drogas,31
Extremadura,2016,1,Otros,0
Galicia,2016,1,Homicidios dolosos y asesinatos consumados,2
Galicia,2016,1,Hurtos,4947
Galicia,2016,1,"Robos con fuerza, violencia o intimidación",0
Galicia,2016,1,Sustracciones de vehículos,234
Galicia,2016,1,Tráfico de drogas,77
Galicia,2016,1,Otros,0
Comunidad de Madrid,2016,1,Homicidios dolosos y asesinatos consumados,11
Comunidad de Madrid,2016,1,Hurtos,38630
Comunidad de Madrid,2016,1,"Robos con fuerza, violencia o intimidación",0
Comunidad de Madrid,2016,1,Sustracciones de vehículos,2545
Comunidad de Madrid,2016,1,Tráfico de drogas,354
Comunidad de Madrid,2016,1,Otros,0
Región de Murcia,2016,1,Homicidios dolosos y asesinatos consumados,0
Región de Murcia,2016,1,Hurtos,4044
Región de Murcia,2016,1,"Robos con fuerza, violencia o intimidación",0
Región de Murcia,2016,1,Sustracciones de vehículos,308
Región de Murcia,2016,1,Tráfico de drogas,74
Región de Murcia,2016,1,Otros,0
Comunidad Foral de Navarra,2016,1,Homicidios dolosos y asesinatos consumados,0
Comunidad Foral de Navarra,2016,1,Hurtos,1162
Comunidad Foral de Navarra,2016,1,"Robos con fuerza, violencia o intimidación",0
Comunidad Foral de Navarra,2016,1,Sustracciones de vehículos,44
Comunidad Foral de Navarra,2016,1,Tráfico de drogas,33
Comunidad Foral de Navarra,2016,1,Otros,0
País Vasco,2016,1,Homicidios dolosos y asesinatos consumados,2
País Vasco,2016,1,Hurtos,6698
País Vasco,2016,1,"Robos con fuerza, violencia o intimidación",0
País Vasco,2016,1,Sustracciones de vehículos,245
País Vasco,2016,1,Tráfico de drogas,83
País Vasco,2016,1,Otros,0
La Rioja,2016,1,Homicidios dolosos y asesinatos consumados,0
La Rioja,2016,1,Hurtos,687
La Rioja,2016,1,"Robos con fuerza, violencia o intimidación",0
La Rioja,2016,1,Sustracciones de vehículos,25
La Rioja,2016,1,Tráfico de drogas,13
La Rioja,2016,1,Otros,0
Ceuta,2016,1,Homicidios dolosos y asesinatos consumados,0
Ceuta,2016,1,Hurtos,216
Ceuta,2016,1,"Robos con fuerza, violencia o intimidación",0
Ceuta,2016,1,Sustracciones de vehículos,126
Ceuta,2016,1,Tráfico de drogas,80
Ceuta,2016,1,Otros,0
Melilla,2016,1,Homicidios dolosos y asesinatos consumados,0
Melilla,2016,1,Hurtos,364
Melilla,2016,1,"Robos con fuerza, violencia o intimidación",0
Melilla,2016,1,Sustracciones de vehículos,26
Melilla,2016,1,Tráfico de drogas,34
Melilla,2016,1,Otros,0
Andalucía,2016,2,Homicidios dolosos y asesinatos consumados,24
Andalucía,2016,2,Hurtos,55141
Andalucía,2016,2,"Robos con fuerza, violencia o intimidación",0
Andalucía,2016,2,Sustracciones de vehículos,4213
Andalucía,2016,2,Tráfico de drogas,1520
Andalucía,2016,2,Otros,165350
Aragón,2016,2,Homicidios dolosos y asesinatos consumados,7
Aragón,2016,2,Hurtos,5954
Aragón,2016,2,"Robos con fuerza, violencia o intimidación",0
Aragón,2016,2,Sustracciones de vehículos,170
Aragón,2016,2,Tráfico de drogas,106
Aragón,2016,2,Otros,18873
Principado de Asturias,2016,2,Homicidios dolosos y asesinatos consumados,3
Principado de Asturias,2016,2,Hurtos,3655
Principado de Asturias,2016,2,"Robos con fuerza, violencia o intimidación",0
Principado de Asturias,2016,2,Sustracciones de vehículos,173
Principado de Asturias,2016,2,Tráfico de drogas,45
Principado de Asturias,2016,2,Otros,12937
Islas Baleares,2016,2,Homicidios dolosos y asesinatos consumados,5
Islas Baleares,2016,2,Hurtos,11342
Islas Baleares,2016,2,"Robos con fuerza, violencia o intimidación",0
Islas Baleares,2016,2,Sustracciones de vehículos,747
Islas Baleares,2016,2,Tráfico de drogas,209
Islas Baleares,2016,2,Otros,29343
Canarias,2016,2,Homicidios dolosos y asesinatos consumados,10
Canarias,2016,2,Hurtos,15742
Canarias,2016,2,"Robos con fuerza, violencia o intimidación",0
Canarias,2016,2,Sustracciones de vehículos,816
Canarias,2016,2,Tráfico de drogas,301
Canarias,2016,2,Otros,44067
Cantabria,2016,2,Homicidios dolosos y asesinatos consumados,0
Cantabria,2016,2,Hurtos,2329
Cantabria,2016,2,"Robos con fuerza, violencia o intimidación",0
Cantabria,2016,2,Sustracciones de vehículos,99
Cantabria,2016,2,Tráfico de drogas,44
Cantabria,2016,2,Otros,8055
Castilla y León,2016,2,Homicidios dolosos y asesinatos consumados,3
Castilla y León,2016,2,Hurtos,11309
Castilla y León,2016,2,"Robos con fuerza, violencia o intimidación",0
Castilla y León,2016,2,Sustracciones de vehículos,458
Castilla y León,2016,2,Tráfico de drogas,155
Castilla y León,2016,2,Otros,36069
Castilla-La Mancha,2016,2,Homicidios dolosos y asesinatos consumados,6
Castilla-La Mancha,2016,2,Hurtos,7824
Castilla-La Mancha,2016,2,"Robos con fuerza, violencia o intimidación",0
Castilla-La Mancha,2016,2,Sustracciones de vehículos,741
Castilla-La Mancha,2016,2,Tráfico de drogas,155
Castilla-La Mancha,2016,2,Otros,31877
Cataluña,2016,2,Homicidios dolosos y asesinatos consumados,28
Cataluña,2016,2,Hurtos,77025
Cataluña,2016,2,"Robos con fuerza, violencia o intimidación",0
Cataluña,2016,2,Sustracciones de vehículos,3878
Cataluña,2016,2,Tráfico de drogas,1063
Cataluña,2016,2,Otros,196198
Comunidad Valenciana,2016,2,Homicidios dolosos y asesinatos consumados,18
Comunidad Valenciana,2016,2,Hurtos,37438
Comunidad Valenciana,2016,2,"Robos con fuerza, violencia o intimidación",0
Comunidad Valenciana,2016,2,Sustracciones de vehículos,2164
Comunidad Valenciana,2016,2,Tráfico de drogas,789
Comunidad Valenciana,2016,2,Otros,113895
Extremadura,2016,2,Homicidios dolosos y asesinatos consumados,4
Extremadura,2016,2,Hurtos,3786
Extremadura,2016,2,"Robos con fuerza, violencia o intimidación",0
Extremadura,2016,2,Sustracciones de vehículos,194
Extremadura,2016,2,Tráfico de drogas,91
Extremadura,2016,2,Otros,13109
Galicia,2016,2,Homicidios dolosos y asesinatos consumados,7
Galicia,2016,2,Hurtos,10155
Galicia,2016,2,"Robos con fuerza, violencia o intimidación",0
Galicia,2016,2,Sustracciones de vehículos,505
Galicia,2016,2,Tráfico de drogas,169
Galicia,2016,2,Otros,36202
Comunidad de Madrid,2016,2,Homicidios dolosos y asesinatos consumados,22
Comunidad de Madrid,2016,2,Hurtos,77894
Comunidad de Madrid,2016,2,"Robos con fuerza, violencia o intimidación",0
Comunidad de Madrid,2016,2,Sustracciones de vehículos,5150
Comunidad de Madrid,2016,2,Tráfico de drogas,764
Comunidad de Madrid,2016,2,Otros,191571
Región de Murcia,2016,2,Homicidios dolosos y asesinatos consumados,6
Región de Murcia,2016,2,Hurtos,7957
Región de Murcia,2016,2,"Robos con fuerza, violencia o intimidación",0
Región de Murcia,2016,2,Sustracciones de vehículos,645
Región de Murcia,2016,2,Tráfico de drogas,156
Región de Murcia,2016,2,Otros,25662
Comunidad Foral de Navarra,2016,2,Homicidios dolosos y asesinatos consumados,0
Comunidad Foral de Navarra,2016,2,Hurtos,3456
Comunidad Foral de Navarra,2016,2,"Robos con fuerza, violencia o intimidación",0
Comunidad Foral de Navarra,2016,2,Sustracciones de vehículos,96
Comunidad Foral de Navarra,2016,2,Tráfico de drogas,102
Comunidad Foral de Navarra,2016,2,Otros,11897
